,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2005,,,,,,2.0,7.0,,1983-03-22,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,16.0,1.0,6-1,,,,,,,,,,,,,,,,,,,Thomas Davis,,,,,,,,,,DaviTh20,ss,,,,,,,,,,,,,,,,,,,,,,1.5,,2005,33.0,CAR,,,,,,,,,,235,,,,,,,,,,0.0,
2006,,,,,,7.0,19.0,,1983-03-22,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,14.0,14.0,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Thomas Davis,,,,5.0,,,,,,DaviTh20,LB,,,,,,,,,,,,,,,,,,,,,,1.5,,2006,71.0,CAR,,,,,,,,,,235,,,,,,,,,,0.0,0.0
2007,,,,,,8.0,16.0,,1983-03-22,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,16.0,16.0,6-1,,,1.0,0.0,,,,,,,,0.0,,,,,,,Thomas Davis,,,,5.0,,,,,,DaviTh20,LB,,,,,,,,,,,,,,,,,,,,,,3.0,,2007,71.0,CAR,,,,,,,,,,235,,,,,,,,,,0.0,0.0
2008,,,,,,8.0,21.0,,1983-03-22,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,16.0,16.0,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Thomas Davis,,,,6.0,,,,,,DaviTh20,LB,,,,,,,,,,,,,,,,,,,,,,3.5,,2008,93.0,CAR,,,,,,,,,,235,,,,,,,,,,0.0,0.0
2009,,,,,,4.0,13.0,,1983-03-22,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,6-1,,,2.0,0.0,,,,,,,,24.0,,,,,,,Thomas Davis,,,,6.0,,,,,,DaviTh20,lb,,,,,,,,,,,,,,,,,,,,,,1.5,,2009,48.0,CAR,,,,,,,,,,235,,,,,,,,,,,24.0
2010,,,,,,,,,1983-03-22,,,,,,,,,,,,,,,,,,,,,,,,6-1,,,,,,,,,,,,,,,,,,,Thomas Davis,,,,,,,,,,DaviTh20,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,,235,,,,,,,,,,,
2011,,,,,,1.0,6.0,,1983-03-22,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,2.0,2.0,6-1,,,,,,,,,,,,,,,,,,,Thomas Davis,,,,,,,,,,DaviTh20,lb,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,6.0,CAR,,,,,,,,,,235,,,,,,,,,,0.0,
2012,,,,,,6.0,35.0,,1983-03-22,,,,,,,,,,,,,,,,,0.0,2.0,1.0,-2.0,,15.0,12.0,6-1,,,1.0,0.0,,,,,,,,0.0,,,,,,,Thomas Davis,,,,3.0,,,,,,DaviTh20,LB,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,70.0,CAR,,,,,,,,,,235,,,,,,,,,,-2.0,0.0
2013,,,,,,10.0,38.0,,1983-03-22,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16.0,16.0,6-1,,,2.0,0.0,,,,,,,,0.0,,,,,,,Thomas Davis,,,,7.0,,,,,,DaviTh20,LB,,,,,,,,,,,,,,,,,,,,,,4.0,,2013,85.0,CAR,,,,,,,,,,235,,,,,,,,,,0.0,-2.0
2014,,,,,,7.0,34.0,,1983-03-22,,,,,,,,,,,,,,,,,0.0,2.0,1.0,33.0,,15.0,15.0,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Thomas Davis,,,,3.0,,,,,,DaviTh20,LB,,,,,,,,,,,,,,,,,,,,,,2.5,,2014,66.0,CAR,,,,,,,,,,235,,,,,,,,,,33.0,0.0
2015,,,,,25.0,16.0,30.0,,1983-03-22,,,,,,,,,,,,,,,,,0.0,4.0,1.0,0.0,,16.0,16.0,6-1,,,4.0,0.0,,0.0,3.0,1.0,,,,22.0,3.0,,,,,,Thomas Davis,,,,7.0,,,,,,DaviTh20,LB,,,,,,,,,,,,,,,,,,,,,,5.5,,2015,75.0,CAR,,,,,,,,,,235,,,,,,3.0,,,,0.0,22.0
2016,,,,,,11.0,33.0,,1983-03-22,,,,,,,,,,,,,,,,,0.0,1.0,2.0,46.0,,16.0,16.0,6-1,,,3.0,0.0,,,,,,,,31.0,,,,,,,Thomas Davis,,,,4.0,,,,,,DaviTh20,LB,,,,,,,,,,,,,,,,,,,,,,2.5,,2016,73.0,CAR,,,,,,,,,,235,,,,,,,,,,46.0,35.0
