,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2018,,21.5,21.5,,1111,9,,2.0,1986-05-22,,68.5,2.0,,94.3,,,,,,,,,,,,1,0,1,0,,12,12,5-10,0.0,,,,0.0,,,,,,,,,37.0,,25.0,36,20,Julian Edelman,,21.5,,,100.0,0.0,0.0,43.0,21.5,EdelJu00,WR,0.0,154.0,20.0,,,118.7,6,850,70.8,11.5,74,6.2,9,0.8,0,107,11.9,8.9,6,,,0.0,,2018,,NWE,,,108,0.0,,,83,,,198,957,0.0,,21.5,3.6,,,7.7,11.5,0,
2019,,33.5,33.5,,1163,10,,2.0,1986-05-22,,65.4,2.0,,100.0,,,,,,,,,,,,3,0,0,0,,16,13,5-10,0.0,,,,0.0,0.0,19.0,1.0,,,,,19.0,32.0,,,44,9,Julian Edelman,,23.5,,,100.0,50.0,1.0,47.0,23.5,EdelJu00,WR,,,,,,158.3,6,1117,69.8,11.2,100,6.3,8,0.5,0,27,3.4,1.7,6,,,0.0,,2019,,NWE,,,153,0.0,,,108,,,198,1144,0.0,,23.5,2.9,19.0,,,10.6,0,
Career,,27.5,27.5,,9532,69,5.0,4.0,1986-05-22,,66.4,4.0,,,,,,,,,,,,,,25,2,14,22,,131,84,5-10,0.0,,,,0.0,0.0,626.0,30.0,,,,,37.0,37.0,,94.0,77,47,Julian Edelman,,22.5,,,100.0,25.0,1.0,90.0,22.5,EdelJu00,,4.0,1986.0,177.0,,,158.3,36,6507,49.7,10.9,599,4.6,56,0.4,0,391,7.0,3.0,36,,,0.0,,Career,16.0,,,,902,0.0,,,655,,,198,6898,0.0,,22.5,0.7,20.9,,11.2,10.5,22,
2009,,,,,668,4,,,1986-05-22,,68.5,,,,,,,,,,,,,,,1,0,1,0,,11,7,5-10,,,,,,0.0,241.0,11.0,,,,,32.0,,,35.0,29,5,Julian Edelman,,,,,,,,,,EdelJu00,wr,0.0,63.0,6.0,,,,1,359,32.6,9.7,37,3.4,2,0.2,0,5,2.5,0.5,1,,,0.0,,2009,,NWE,,,54,,,,39,,,198,364,,,,,21.9,,10.5,9.3,0,
2010,,,,,421,2,,,1986-05-22,,50.0,,,,,,,,,,,,,,,1,0,0,0,,15,3,5-10,,,,,,,,,,,,,,,,94.0,40,13,Julian Edelman,,,,,,,,,,EdelJu00,wr,1.0,321.0,21.0,,,,0,86,5.7,12.3,7,0.5,2,0.1,0,14,7.0,0.9,0,,,0.0,,2010,,NWE,,,14,,,,9,,,198,100,,,,,,,15.3,11.1,0,
2011,,,,,622,1,5.0,,1986-05-22,,44.4,,,,,,,,,,,,,,,3,1,2,0,,13,0,5-10,,,,,,0.0,284.0,12.0,,,,,37.0,,,72.0,11,6,Julian Edelman,,,,,,,,,,EdelJu00,,1.0,296.0,28.0,,,,0,34,2.6,8.5,4,0.3,4,0.3,0,8,2.0,0.6,0,,,0.0,,2011,13.0,NWE,,,9,,,,8,,,198,42,,,,,23.7,,10.6,5.3,0,
2012,,,,,603,4,0.0,,1986-05-22,,65.6,,,,,,,,,,,,,,,1,1,1,22,,9,3,5-10,,,,,,0.0,38.0,3.0,,,,,32.0,,,68.0,56,47,Julian Edelman,,,,,,,,,,EdelJu00,wr,1.0,263.0,17.0,,,,3,235,26.1,11.2,21,2.3,4,0.4,0,45,11.3,5.0,3,,,0.0,,2012,2.0,NWE,,,32,,,,25,,,198,280,,,,,12.7,,15.5,11.2,22,
2013,,,,,1441,9,,,1986-05-22,,69.5,,,,,,,,,,,,,,,6,0,5,0,,16,11,5-10,,,,,,,,,,,,,,,,43.0,44,7,Julian Edelman,,,,,,,,,,EdelJu00,WR,0.0,374.0,35.0,,,,6,1056,66.0,10.1,105,6.6,2,0.1,0,11,5.5,0.7,6,,,0.0,,2013,,NWE,,,151,,,,107,,,198,1067,,,,,,,10.7,10.0,0,
2014,,,,,1365,12,,,1986-05-22,,68.7,,,,,,,,,,,,,,,5,0,3,0,,14,13,5-10,,,,,,,,,,,,,,,,84.0,69,25,Julian Edelman,,,,,,,,,,EdelJu00,WR,1.0,299.0,25.0,,,,4,972,69.4,10.6,92,6.6,10,0.7,0,94,9.4,6.7,4,,,0.0,,2014,,NWE,,,134,,,,102,,,198,1066,,,,,,,12.0,10.5,0,
2015,,,,,796,7,,,1986-05-22,,69.3,,,,,,,,,,,,,,,1,0,1,0,,9,9,5-10,,,,,,,,,,,,,,,,19.0,59,12,Julian Edelman,,,,,,,,,,EdelJu00,WR,0.0,81.0,10.0,,,,7,692,76.9,11.3,61,6.8,3,0.3,0,23,7.7,2.6,7,,,0.0,,2015,,NWE,,,88,,,,64,,,198,715,,,,,,,8.1,11.2,0,
2016,,,,,1342,11,0.0,,1986-05-22,,61.6,,,,,,,,,,,,,,,3,0,0,0,,16,13,5-10,,,,,,0.0,44.0,3.0,,,,,19.0,,,23.0,77,9,Julian Edelman,,,,,,,,,,EdelJu00,WR,0.0,135.0,15.0,,,,3,1106,69.1,11.3,98,6.1,12,0.8,0,57,4.8,3.6,3,,,0.0,,2016,1.0,NWE,,,159,,,,110,,,198,1163,,,,,14.7,,9.0,10.6,0,
