,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2008,96.0,5.29,6.3,99.0,,11,,428,1985-01-16,,100.0,257,97.0,42.7,,,,,,,,,1.0,,,11,0,3,-23,1.0,16,16,6-6,2.8,103.0,,,12,,,,,,,,,70,,,43.0,38,Joe Flacco,95.0,5.86,97.0,,60.0,3.3,14,2971,6.9,FlacJo00,QB,,,,,11-5-0,80.3,0.0,43.0,2.7,43.0,1.0,0.1,52,3.3,2,180,3.5,11.3,2,,93.0,0.0,,2008,,BAL,,,1.0,32,,91.0,53,,,245,223,276,100.0,11.6,185.7,,,,4.2,-23,
2009,105.0,6.12,7.0,106.0,,13,,499,1985-01-16,,,315,107.0,59.8,,,,,,,,,1.0,,,8,0,3,0,2.0,16,16,6-6,2.4,108.0,,,12,,,,,,,,,72,,,,10,Joe Flacco,103.0,6.35,107.0,,63.1,4.2,21,3613,7.2,FlacJo00,QB,,,,,9-7-0,88.9,,,,,,,35,2.2,0,56,1.6,3.5,0,,95.0,0.0,,2009,,BAL,,,,36,,101.0,35,,,245,56,218,105.0,11.5,225.8,,,,1.6,0,
2010,107.0,6.39,7.5,110.0,,12,,489,1985-01-16,,,306,106.0,60.1,,,,,,,,,2.0,,,9,0,1,-8,4.0,16,16,6-6,2.0,113.0,,,10,,,,,,,,,67,,,,14,Joe Flacco,101.0,6.29,111.0,,62.6,5.1,25,3622,7.4,FlacJo00,QB,,,,,12-4-0,93.6,,,,,,,43,2.7,1,84,2.0,5.3,1,,90.0,0.0,,2010,,BAL,,,,40,,110.0,43,,,245,84,294,106.0,11.8,226.4,,,,2.0,-8,
2011,98.0,5.7,6.4,96.0,,12,,542,1985-01-16,,100.0,312,89.0,62.5,,,,,,,,,2.0,,,11,0,4,-7,3.0,16,16,6-6,2.2,110.0,,,12,,,,,,,,,74,,,-8.0,33,Joe Flacco,94.0,5.95,95.0,,57.6,3.7,20,3610,6.7,FlacJo00,QB,,,,,12-4-0,80.9,0.0,-8.0,-0.5,-8.0,1.0,0.1,39,2.4,1,88,2.3,5.5,1,,107.0,0.0,,2011,,BAL,,,1.0,31,,93.0,40,,,245,80,203,91.0,11.6,225.6,,,,2.0,-7,
2012,105.0,6.33,7.2,105.0,,13,,531,1985-01-16,,,317,96.0,51.1,,,,,,,,,3.0,,,9,0,1,-10,3.0,16,16,6-6,1.9,114.0,,,10,,,,,,,,,61,,,,16,Joe Flacco,102.0,6.34,103.0,,59.7,4.1,22,3817,7.2,FlacJo00,QB,,,,,10-6-0,87.7,,,,,,,32,2.0,3,22,0.7,1.4,3,,102.0,0.0,,2012,,BAL,,,,35,,98.0,32,,,245,22,227,101.0,12.0,238.6,,,,0.7,-10,
2013,80.0,4.5,5.4,80.0,,8,,614,1985-01-16,,,362,90.0,47.8,,,,,,,,,2.0,,,8,0,2,0,4.0,16,16,6-6,3.6,83.0,,,22,,,,,,,,,74,,,,22,Joe Flacco,82.0,5.42,82.0,,59.0,3.1,19,3912,6.4,FlacJo00,QB,,,,,8-8-0,73.1,,,,,,,27,1.7,1,131,4.9,8.2,1,,93.0,0.0,,2013,,BAL,,,,48,,85.0,27,,,245,131,324,82.0,10.8,244.5,,,,4.9,0,
2014,108.0,6.66,7.2,103.0,,14,,554,1985-01-16,,,344,99.0,68.2,,,,,,,,,2.0,,,6,0,3,-5,2.0,16,16,6-6,2.2,106.0,,,12,,,,,,,,,80,,,,15,Joe Flacco,107.0,6.66,104.0,,62.1,4.9,27,3986,7.2,FlacJo00,QB,,,,,10-6-0,91.0,,,,,,,39,2.4,2,70,1.8,4.4,2,,123.0,0.0,,2014,,BAL,,,,19,,104.0,39,,,245,70,167,100.0,11.6,249.1,,,,1.8,-5,
2015,91.0,5.61,6.1,87.0,,5,,413,1985-01-16,,,266,106.0,49.7,,,,,,,,,3.0,,,5,0,3,-22,3.0,10,10,6-6,2.9,91.0,,,12,,,,,,,,,50,,,,16,Joe Flacco,96.0,6.22,91.0,,64.4,3.4,14,2791,6.8,FlacJo00,QB,,,,,3-7-0,83.1,,,,,,,13,1.3,3,23,1.8,2.3,3,,118.0,0.0,,2015,,BAL,,,,16,,87.0,13,,,245,23,124,89.0,10.5,279.1,,,,1.8,-22,
2016,89.0,5.39,6.0,87.0,,9,,672,1985-01-16,,,436,109.0,52.7,,,,,,,,,2.0,,,5,0,1,-2,2.0,16,16,6-6,2.2,102.0,,,15,,,,,,,,,95,,,,16,Joe Flacco,88.0,5.78,92.0,,64.9,3.0,20,4317,6.4,FlacJo00,QB,,,,,8-8-0,83.5,,,,,,,21,1.3,2,58,2.8,3.6,2,,112.0,0.0,,2016,,BAL,,,,33,,83.0,21,,,245,58,243,83.0,9.9,269.8,,,,2.8,-2,
2017,81.0,4.71,5.3,77.0,,9,,549,1985-01-16,,,352,103.0,49.8,,,,,,,,,,,,6,0,4,-3,,16,16,6-6,2.4,100.0,,,13,,,,,,,,,66,,,,25,Joe Flacco,77.0,5.1,88.0,,64.1,3.3,18,3141,5.7,FlacJo00,QB,,,,,9-7-0,80.4,,,,,,,25,1.6,1,54,2.2,3.4,1,,112.0,0.0,,2017,,BAL,,,,27,,87.0,25,,,245,54,205,70.0,8.9,196.3,,,,2.2,-3,
