,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2015,,,,,,1,0.0,,1987-09-02,,,,,,97.1,35,34,66.7,15,10,3,2.0,,5,3,,,,,,11,0.0,5-11,,,,,,,,,,,57.0,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,2.0,2TM,4,3,,,,,,3,2,197,,,,,,,,,,,
,,,,,,1,0.0,,1987-09-02,,,,,,97.1,34,33,69.2,13,9,3,2.0,,3,2,,,,,,10,0.0,5-11,,,,,,,,,,,,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,NOR,4,3,,,,,,3,2,197,,,,,,,,,,,
2016,,,,,,2,0.0,,1987-09-02,,,,,,78.6,14,11,100.0,15,15,1,1.0,,4,4,,,,,,7,0.0,5-11,,,,,,,,,,,51.0,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,k,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,1.0,MIN,5,5,,,,,,5,5,197,,,,,,,,,,,
2017,,,,,,3,0.0,,1987-09-02,,,,,,87.2,39,34,84.2,38,32,9,6.0,,7,6,,,,,,16,0.0,5-11,,,,,,,,,,,53.0,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,1.0,MIN,14,12,,,,,,8,8,197,,,,,,,,,,,
Career,,,,,,16,0.0,,1987-09-02,,,,,,93.8,195,183,86.8,151,131,19,12.0,,49,43,,,,,,81,,5-11,,,,,,,,,,,57.0,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,4.0,,45,40,,,,,,38,36,197,,,,,,,,,,,
2012,,,,,,3,,,1987-09-02,,,,,,97.1,34,33,94.4,18,17,1,1.0,,11,11,,,,,,11,0.0,5-11,,,,,,,,,,,50.0,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,K,,,,,,,,,,,,,,,,,,,,,,,,2012,,WAS,3,2,,,,,,3,3,197,,,,,,,,,,,
2013,,,,,,2,,,1987-09-02,,,,,,100.0,26,26,81.8,22,18,2,1.0,,6,4,,,,,,13,0.0,5-11,,,,,,,,,,,50.0,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,K,,,,,,,,,,,,,,,,,,,,,,,,2013,,WAS,10,10,,,,,,4,3,197,,,,,,,,,,,
2014,,,,,,3,,,1987-09-02,,,,,,96.9,32,31,88.9,27,24,1,,,8,7,,,,,,16,0.0,5-11,,,,,,,,,,,49.0,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,K,,,,,,,,,,,,,,,,,,,,,,,,2014,,WAS,7,6,,,,,,11,11,197,,,,,,,,,,,
2018,,,,,,0,,,1987-09-02,,,,,,100.0,3,3,80.0,5,4,1,,,1,1,,,,,,3,0.0,5-11,,,,,,,,,,,41.0,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,k,,,,,,,,,,,,,,,,,,,,,,,,2018,,JAX,1,1,,,,,,2,2,197,,,,,,,,,,,
2019,,,,,,2,,,1987-09-02,,,,,,91.7,12,11,100.0,11,11,1,1.0,,7,7,,,,,,4,0.0,5-11,,,,,,,,,,,50.0,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,,,,,,,,,,,,,,,,,,,,,,,,,2019,,2TM,1,1,,,,,,2,2,197,,,,,,,,,,,
