,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2005,,,,,,4,,,1983-05-14,,68.2,,,,,,,,,,,,,,,2,0.0,1.0,0.0,,14,1,5-9,,,,,,,,,,,,,,,,,47,72,Frank Gore,,,,,,,,,,GoreFr00,rb,,,,,,,0,131,9.4,8.7,15,1.1,127,9.1,3,608,4.8,43.4,3,,,0.0,,2005,,SFO,,,22,,,,142,,,212,739,,,,,,,,5.2,0.0,
2006,,,,,,16,,,1983-05-14,,70.9,,,,,,,,,,,,,,,6,0.0,0.0,0.0,,16,16,5-9,,,,,,,,,,,,,,,,,39,72,Frank Gore,,,,,,,,,,GoreFr00,RB,,,,,,,1,485,30.3,8.0,61,3.8,312,19.5,8,1695,5.4,105.9,9,,,0.0,,2006,,SFO,,,86,,,,373,,,212,2180,,,,,,,,5.8,0.0,
2007,,,,,,9,,,1983-05-14,,76.8,,,,,,,,,,,,,,,4,0.0,1.0,0.0,,15,15,5-9,,,,,,,,,,,,,,,,,23,43,Frank Gore,,,,,,,,,,GoreFr00,RB,,,,,,,1,436,29.1,8.2,53,3.5,260,17.3,5,1102,4.2,73.5,6,,,0.0,,2007,,SFO,,,69,,,,313,,,212,1538,,,,,,,,4.9,0.0,
2008,,,,,,10,,,1983-05-14,,65.2,,,,,,,,,,,,,,,6,0.0,1.0,0.0,,14,14,5-9,,,,,,,,,,,,,,,,,26,41,Frank Gore,,,,,,,,,,GoreFr00,RB,,,,,,,2,373,26.6,8.7,43,3.1,240,17.1,6,1036,4.3,74.0,8,,,0.0,,2008,,SFO,,,66,,,,283,,,212,1409,,,,,,,,5.0,0.0,
2009,,,,,,12,,,1983-05-14,,69.3,,,,,,,,,,,,,,,4,0.0,1.0,0.0,,14,14,5-9,,,,,,,,,,,,,,,,,48,80,Frank Gore,,,,,,,,,,GoreFr00,RB,,,,,,,3,406,29.0,7.8,52,3.7,229,16.4,10,1120,4.9,80.0,13,,,0.0,,2009,,SFO,,,75,,,,281,,,212,1526,,,,,,,,5.4,0.0,
2010,,,,,,8,,,1983-05-14,,63.9,,,,,,,,,,,,,,,4,0.0,1.0,0.0,,11,11,5-9,,,,,,,,,,,,,,,,,41,64,Frank Gore,,,,,,,,,,GoreFr00,RB,,,,,,,2,452,41.1,9.8,46,4.2,203,18.5,3,853,4.2,77.5,5,,,0.0,,2010,,SFO,,,72,,,,249,,,212,1305,,,,,,,,5.2,0.0,
2011,,,,,,10,,,1983-05-14,,54.8,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,15,5-9,,,,,,,,,,,,,,,,,13,55,Frank Gore,,,,,,,,,,GoreFr00,RB,,,,,,,0,114,7.1,6.7,17,1.1,282,17.6,8,1211,4.3,75.7,8,,,0.0,,2011,,SFO,,,31,,,,299,,,212,1325,,,,,,,,4.4,0.0,
2012,,,,,,10,,,1983-05-14,,77.8,,,,,,,,,,,,,,,3,0.0,4.0,15.0,,16,16,5-9,,,,,,,,,,,,,,,,,26,37,Frank Gore,,,,,,,,,,GoreFr00,RB,,,,,,,1,234,14.6,8.4,28,1.8,258,16.1,8,1214,4.7,75.9,9,,,0.0,,2012,,SFO,,,36,,,,286,,,212,1448,,,,,,,,5.1,15.0,
2013,,,,,,9,,,1983-05-14,,59.3,,,,,,,,,,,,,,,3,0.0,1.0,0.0,,16,16,5-9,,,,,,,,,,,,,,,,,29,51,Frank Gore,,,,,,,,,,GoreFr00,RB,,,,,,,0,141,8.8,8.8,16,1.0,276,17.3,9,1128,4.1,70.5,9,,,0.0,,2013,,SFO,,,27,,,,292,,,212,1269,,,,,,,,4.3,0.0,
2014,,,,,,7,,,1983-05-14,,57.9,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,16,5-9,,,,,,,,,,,,,,,,,55,52,Frank Gore,,,,,,,,,,GoreFr00,RB,,,,,,,1,111,6.9,10.1,11,0.7,255,15.9,4,1106,4.3,69.1,5,,,0.0,,2014,,SFO,,,19,,,,266,,,212,1217,,,,,,,,4.6,0.0,
