,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,3,1,,1988-04-03,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,13,6,6-2,,,,,,,,,,,,,,,,,,,Brandon Graham,,,,,,,,,,GrahBr99,de/ldt,,,,,,,,,,,,,,,,,,,,,,3.0,,2010,12,PHI,,,,,,,,,,265,,,,,,,,,,0.0,
2011,,,,,,0,0,,1988-04-03,,,,,,,,,,,,,,,,,,,,,,3,0,6-2,,,,,,,,,,,,,,,,,,,Brandon Graham,,,,,,,,,,GrahBr99,,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,4,PHI,,,,,,,,,,265,,,,,,,,,,,
2012,,,,,,4,8,,1988-04-03,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,16,6,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Brandon Graham,,,,1.0,,,,,,GrahBr99,de,,,,,,,,,,,,,,,,,,,,,,5.5,,2012,30,PHI,,,,,,,,,,265,,,,,,,,,,0.0,0.0
2013,,,,,14.0,1,4,,1988-04-03,,,,,,,,,,,,,,,,,,,,,,16,0,6-2,,,,,,0.0,14.0,2.0,,,,,14.0,,,,,,Brandon Graham,,,,,,,,,,GrahBr99,,,,,,,,,,,,,,,,,,,,,,,3.0,,2013,16,PHI,,,,,,,,,,265,,,,,,7.0,,,,,
2014,,,,,,2,11,,1988-04-03,,,,,,,,,,,,,,,,,0.0,4.0,0.0,0.0,,16,1,6-2,,,,,,,,,,,,,,,,,,,Brandon Graham,,,,,,,,,,GrahBr99,lb,,,,,,,,,,,,,,,,,,,,,,5.5,,2014,36,PHI,,,,,,,,,,265,,,,,,,,,,0.0,
2015,,,,,,5,12,,1988-04-03,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,16,10,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Brandon Graham,,,,1.0,,,,,,GrahBr99,LB,,,,,,,,,,,,,,,,,,,,,,6.5,,2015,39,PHI,,,,,,,,,,265,,,,,,,,,,0.0,0.0
2016,,,,,,13,18,,1988-04-03,,,,,,,,,,,,,,,,,0.0,2.0,1.0,4.0,,16,16,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Brandon Graham,,,,1.0,,,,,,GrahBr99,DE,,,,,,,,,,,,,,,,,,,,,,5.5,,2016,41,PHI,,,,,,,,,,265,,,,,,,,,,4.0,0.0
2017,,,,,,9,14,,1988-04-03,,,,,,,,,,,,,,,,,0.0,2.0,1.0,16.0,,15,15,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Brandon Graham,,,,2.0,,,,,,GrahBr99,DE,,,,,,,,,,,,,,,,,,,,,,9.5,,2017,33,PHI,,,,,,,,,,265,,,,,,,,,,16.0,0.0
2018,,,,,,8,8,,1988-04-03,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,16,16,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Brandon Graham,,,,2.0,,,,,,GrahBr99,DE,,,,,,,,,,,,,,,,,,,,,,4.0,,2018,31,PHI,,,,,,,,,,265,,,,,,,,,,0.0,0.0
2019,,,,,,9,15,,1988-04-03,,,,,,,,,,,,,,,,,0.0,1.0,2.0,4.0,,16,16,6-2,,,,,,,,,,,,,,,,,,,Brandon Graham,,,,,,,,,,GrahBr99,DE,,,,,,,,,,,,,,,,,,,,,,8.5,,2019,35,PHI,,,,,,,,,,265,,,,,,,,,,4.0,
