,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,1,0,,1987-12-22,,,,,,,,,,,,,,,,,,,,,,11,0,6-3,,,,,,,,,,,,,,,,,,,Everson Griffen,,,,,,,,,,GrifEv99,,,,,,,,,,,,,,,,,,,,,,,0.0,,2010,11,MIN,,,,,,,,,,273,,,,,,,,,,,
2011,,,,,16.0,1,6,,1987-12-22,,,,,,,,,,,,,,,,,0.0,1.0,1.0,9.0,,16,0,6-3,,,0.0,0.0,,0.0,7.0,1.0,,,,0.0,7.0,,,,,,Everson Griffen,,,,2.0,,,,,,GrifEv99,,,,,,,,,,,,,,,,,,,,,,,4.0,,2011,15,MIN,,,,,,,,,,273,,,,,,7.0,,,,9.0,0.0
2012,,,,,,3,3,,1987-12-22,,,,,,,,,,,,,,,,,0.0,0.0,2.0,5.0,,16,1,6-3,,,1.0,1.0,,,,,,,,29.0,,,,,,,Everson Griffen,,,,2.0,,,,,,GrifEv99,de,,,,,,,,,,,,,,,,,,,,,,8.0,,2012,24,MIN,,,,,,,,,,273,,,,,,,,,,5.0,29.0
2013,,,,,,2,9,,1987-12-22,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,0,6-3,,,,,,,,,,,,,,,,,,,Everson Griffen,,,,,,,,,,GrifEv99,,,,,,,,,,,,,,,,,,,,,,,5.5,,2013,18,MIN,,,,,,,,,,273,,,,,,,,,,0.0,
2014,,,,,,9,17,,1987-12-22,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Everson Griffen,,,,3.0,,,,,,GrifEv99,DE,,,,,,,,,,,,,,,,,,,,,,12.0,,2014,41,MIN,,,,,,,,,,273,,,,,,,,,,0.0,0.0
2015,,,,,,11,10,,1987-12-22,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,15,15,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Everson Griffen,,,,4.0,,,,,,GrifEv99,DE,,,,,,,,,,,,,,,,,,,,,,10.5,,2015,34,MIN,,,,,,,,,,273,,,,,,,,,,0.0,0.0
2016,,,,,,13,12,,1987-12-22,,,,,,,,,,,,,,,,,0.0,2.0,3.0,20.0,,16,16,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Everson Griffen,,,,1.0,,,,,,GrifEv99,DE,,,,,,,,,,,,,,,,,,,,,,8.0,,2016,36,MIN,,,,,,,,,,273,,,,,,,,,,20.0,0.0
2017,,,,,,15,14,,1987-12-22,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,15,15,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Everson Griffen,,,,1.0,,,,,,GrifEv99,DE,,,,,,,,,,,,,,,,,,,,,,13.0,,2017,31,MIN,,,,,,,,,,273,,,,,,,,,,0.0,0.0
2018,,,,,,6,11,,1987-12-22,,,,,,,,,,,,,,,,,,,,,,11,10,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Everson Griffen,,,,1.0,,,,,,GrifEv99,DE,,,,,,,,,,,,,,,,,,,,,,5.5,,2018,22,MIN,,,,,,,,,,273,,,,,,,,,,,0.0
2019,,,,,,10,15,,1987-12-22,,,,,,,,,,,,,,,,,,,,,,15,15,6-3,,,1.0,0.0,,,,,,,,17.0,,,,,,,Everson Griffen,,,,2.0,,,,,,GrifEv99,DE,,,,,,,,,,,,,,,,,,,,,,8.0,,2019,26,MIN,,,,,,,,,,273,,,,,,,,,,,17.0
