,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,197.0,5,7,,1989-04-14,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,16,7,5-11,,,6,0,,0.0,96.0,4.0,,,,62,32.0,,,,,,Joe Haden,,,,18,,,,,,HadeJo99,cb/lcb,,,,,,,,,,,,,,,,,,,,,,1.0,,2010,57,CLE,,,,,,,,,,195,,,,,,24.0,,,,0.0,101
2011,,,,,,7,12,,1989-04-14,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,15,15,5-11,,,0,0,,,,,,,,0,,,,,,,Joe Haden,,,,19,,,,,,HadeJo99,LCB,,,,,,,,,,,,,,,,,,,,,,1.0,,2011,53,CLE,,,,,,,,,,195,,,,,,,,,,0.0,0
2012,,,,,,5,11,,1989-04-14,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,11,11,5-11,,,3,0,,,,,,,,50,,,,,,,Joe Haden,,,,11,,,,,,HadeJo99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,40,CLE,,,,,,,,,,195,,,,,,,,,,0.0,64
2013,,,,,,11,11,,1989-04-14,,,,,,,,,,,,,,,,,,,,,,15,15,5-11,,,4,1,,,,,,,,29,,,,,,,Joe Haden,,,,20,,,,,,HadeJo99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,43,CLE,,,,,,,,,,195,,,,,,,,,,,57
2014,,,,,,10,15,,1989-04-14,,,,,,,,,,,,,,,,,0.0,1.0,2.0,34.0,,15,15,5-11,,,3,0,,,,,,,,0,,,,,,,Joe Haden,,,,20,,,,,,HadeJo99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,58,CLE,,,,,,,,,,195,,,,,,,,,,34.0,0
2015,,,,,,2,4,,1989-04-14,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,5,5,5-11,,,0,0,,,,,,,,0,,,,,,,Joe Haden,,,,2,,,,,,HadeJo99,lcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,18,CLE,,,,,,,,,,195,,,,,,,,,,0.0,0
2016,,,,,27.0,5,11,,1989-04-14,,,,,,,,,,,,,,,,,,,,,,13,13,5-11,,,3,0,,,,,,,,9,,,,13.0,,,Joe Haden,,,,11,,,,,,HadeJo99,CB,0.0,18.0,2.0,,,,,,,,,,,,,,,,,,,0.0,,2016,37,CLE,,,,,,,,,,195,,,,,,,,9.0,,,9
2017,,,,,,4,2,,1989-04-14,,,,,,,,,,,,,,,,,,,,,,11,11,5-11,,,1,0,,,,,,,,1,,,,,,,Joe Haden,,,,7,,,,,,HadeJo99,LCB/rolb,,,,,,,,,,,,,,,,,,,,,,1.0,,2017,18,PIT,,,,,,,,,,195,,,,,,,,,,,1
2018,,,,,,6,12,,1989-04-14,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,15,15,5-11,,,2,0,,,,,,,,0,,,,,,,Joe Haden,,,,12,,,,,,HadeJo99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,51,PIT,,,,,,,,,,195,,,,,,,,,,0.0,0
2019,,,,,,11,6,,1989-04-14,,,,,,,,,,,,,,,,,0.0,1.0,1.0,3.0,,16,16,5-11,,,5,0,,,,,,,,16,,,,,,,Joe Haden,,,,17,,,,,,HadeJo99,CB,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,59,PIT,,,,,,,,,,195,,,,,,,,,,3.0,20
