,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,2,10,,1989-06-18,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,4,5-10,,,1,0,,,,,,,,15,,,,,,,Chris Harris Jr.,,,,6,,,,,,HarrCh01,cb,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,61,DEN,,,,,,,,,,199,,,,,,,,,,0.0,15
2012,,,,,,6,10,,1989-06-18,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,15,12,5-10,,,3,2,,,,,,,,98,,,,,,,Chris Harris Jr.,,,,9,,,,,,HarrCh01,cb/RCB,,,,,,,,,,,,,,,,,,,,,,2.5,,2012,51,DEN,,,,,,,,,,199,,,,,,,,,,0.0,144
2013,,,,,,6,7,,1989-06-18,,,,,,,,,,,,,,,,,,,,,,16,15,5-10,,,3,0,,,,,,,,1,,,,,,,Chris Harris Jr.,,,,14,,,,,,HarrCh01,cb/LCB/rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,58,DEN,,,,,,,,,,199,,,,,,,,,,,1
2014,,,,,,11,4,,1989-06-18,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,16,16,5-10,,,3,0,,,,,,,,38,,,,,,,Chris Harris Jr.,,,,17,,,,,,HarrCh01,cb/RCB,,,,,,,,,,,,,,,,,,,,,,1.0,,2014,51,DEN,,,,,,,,,,199,,,,,,,,,,0.0,52
2015,,,,,,13,9,,1989-06-18,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,16,16,5-10,,,2,1,,,,,,,,74,,,,,,,Chris Harris Jr.,,,,6,,,,,,HarrCh01,cb/RCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,49,DEN,,,,,,,,,,199,,,,,,,,,,0.0,94
2016,,,,,,14,6,,1989-06-18,,,,,,,,,,,,,,,,,0.0,1.0,1.0,6.0,,16,15,5-10,,,2,0,,,,,,,,36,,,,,,,Chris Harris Jr.,,,,11,,,,,,HarrCh01,RCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,57,DEN,,,,,,,,,,199,,,,,,,,,,6.0,36
2017,,,,,,6,8,,1989-06-18,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,15,5-10,,,2,0,,,,,,,,23,,,,,,,Chris Harris Jr.,,,,7,,,,,,HarrCh01,RCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,32,DEN,,,,,,,,,,199,,,,,,,,,,0.0,36
2018,,,,,,9,9,,1989-06-18,,,,,,,,,,,,,,,,,,,,,,12,12,5-10,,,3,1,,,,,,,,53,,,,,,,Chris Harris Jr.,,,,10,,,,,,HarrCh01,lcb/RCB,,,,,,,,,,,,,,,,,,,,,,1.0,,2018,40,DEN,,,,,,,,,,199,,,,,,,,,,,68
2019,,,,,,6,12,,1989-06-18,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,5-10,,,1,0,,,,,,,,11,,,,,,,Chris Harris Jr.,,,,6,,,,,,HarrCh01,CB,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,44,DEN,,,,,,,,,,199,,,,,,,,,,0.0,11
Career,,,,,,73,75,,1989-06-18,,,,,,,,,,,,,,,,,0.0,6.0,4.0,6.0,,139,121,5-10,,,20,4,,,,,,,,98,,,,,,,Chris Harris Jr.,,,,86,,,,,,HarrCh01,,,,,,,,,,,,,,,,,,,,,,,4.5,,Career,443,,,,,,,,,,,199,,,,,,,,,,6.0,457
