,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,6,10,,1989-01-12,,,,,,,,,,,,,,,,,0,1,1,0,,16,10,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Justin Houston,,,,4.0,,,,,,HousJu00,LOLB,,,,,,,,,,,,,,,,,,,,,,5.5,,2011,46,KAN,,,,,,,,,,270,,,,,,,,,,0,0.0
2012,,,,,,9,13,,1989-01-12,,,,,,,,,,,,,,,,,0,1,1,4,,16,16,6-3,,,1.0,0.0,,,,,,,,32.0,,,,,,,Justin Houston,,,,6.0,,,,,,HousJu00,LOLB,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,2012,53,KAN,,,,,,,,,,270,,,,,,,,,,4,32.0
2013,,,,,,9,3,,1989-01-12,,,,,,,,,,,,,,,,,0,1,3,7,,11,11,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Justin Houston,,,,4.0,,,,,,HousJu00,LOLB,,,,,,,,,,,,,,,,,,,,,,11.0,,2013,41,KAN,,,,,,,,,,270,,,,,,,,,,7,0.0
2014,,,,,,17,9,,1989-01-12,,,,,,,,,,,,,,,,,0,4,0,0,,16,16,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Justin Houston,,,,5.0,,,,,,HousJu00,lb/LOLB,,,,,,,,,,,,,,,,,,,,,,22.0,,2014,60,KAN,,,,,,,,,,270,,,,,,,,,,0,0.0
2015,,,,,,9,5,,1989-01-12,,,,,,,,,,,,,,,,,0,1,0,0,,11,11,6-3,,,2.0,1.0,,,,,,,,17.0,,,,,,,Justin Houston,,,,6.0,,,,,,HousJu00,lb/LOLB,,,,,,,,,,,,,,,,,,,,,,7.5,,2015,25,KAN,,,,,,,,,,270,,,,,,,,,,0,16.0
2016,,,,,,3,1,,1989-01-12,,,,,,,,,,,,,,,,,0,1,0,0,,5,5,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Justin Houston,,,,1.0,,,,,,HousJu00,lb/lolb,,,,,,,,,,,,,,,,,,,,,,4.0,,2016,20,KAN,,,,,,,,,,270,,,,,,,,,,0,0.0
2017,,,,,,8,13,,1989-01-12,,,,,,,,,,,,,,,,,0,0,2,13,,15,15,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Justin Houston,,,,5.0,,,,,,HousJu00,lilb/LOLB,,,,,,,,,,,,,,,,,,,,,,9.5,,2017,46,KAN,,,,,,,,,,270,,,,,,,,,,13,0.0
2018,,,,,,5,9,,1989-01-12,,,,,,,,,,,,,,,,,0,5,3,0,,12,12,6-3,,,1.0,0.0,,,,,,,,4.0,,,,,,,Justin Houston,,,,1.0,,,,,,HousJu00,lolb/rolb,,,,,,,,,,,,,,,,,,,,,,9.0,,2018,28,KAN,,,,,,,,,,270,,,,,,,,,,0,4.0
2019,,,,,,8,11,,1989-01-12,,,,,,,,,,,,,,,,,0,2,3,0,,16,16,6-3,,,,,,,,,,,,,,,,,,,Justin Houston,,,,,,,,,,HousJu00,DE,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,2019,33,IND,,,,,,,,,,270,,,,,,,,,,0,
Career,,,,,,74,74,,1989-01-12,,,,,,,,,,,,,,,,,0,16,13,24,,118,112,6-3,,,4.0,1.0,,,,,,,,32.0,,,,,,,Justin Houston,,,,32.0,,,,,,HousJu00,,,,,,,,,,,,,,,,,,,,,,,89.5,2.0,Career,352,,,,,,,,,,,270,,,,,,,,,,24,52.0
