,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,4,0.0,,1989-12-21,,84.6,,,,,,,,,,,,,,,1,0,0,0,,10,4,5-9,,,,,,,,,,,,,,,,,9,35,Mark Ingram,,,,,,,,,,IngrMa01,rb,,,,,,,0,46,4.6,4.2,11,1.1,122,12.2,5,474,3.9,47.4,5,,,0.0,,2011,1.0,NOR,,,13,,,,133,,,215,520,,,,,,,,3.9,0,
2012,,,,,,4,,,1989-12-21,,60.0,,,,,,,,,,,,,,,0,0,1,1,,16,5,5-9,,,,,,,,,,,,,,,,,16,31,Mark Ingram,,,,,,,,,,IngrMa01,rb,,,,,,,0,29,1.8,4.8,6,0.4,156,9.8,5,602,3.9,37.6,5,,,0.0,,2012,,NOR,,,10,,,,162,,,215,631,,,,,,,,3.9,1,
2013,,,,,,3,,,1989-12-21,,63.6,,,,,,,,,,,,,,,1,0,0,0,,11,3,5-9,,,,,,,,,,,,,,,,,23,34,Mark Ingram,,,,,,,,,,IngrMa01,rb,,,,,,,0,68,6.2,9.7,7,0.6,78,7.1,1,386,4.9,35.1,1,,,0.0,,2013,,NOR,,,11,,,,85,,,215,454,,,,,,,,5.3,0,
2014,,,,,,8,,,1989-12-21,,80.6,,,,,,,,,,,,,,,3,0,0,0,,13,9,5-9,,,,,,,,,,,,,,,,,14,31,Mark Ingram,,,,,,,,,,IngrMa01,RB,,,,,,,0,145,11.2,5.0,29,2.2,226,17.4,9,964,4.3,74.2,9,,,0.0,,2014,,NOR,,,36,,,,255,,,215,1109,,,,,,,,4.3,0,
2015,,,,,,8,,,1989-12-21,,83.3,,,,,,,,,,,,,,,2,0,0,0,,12,10,5-9,,,,,,,,,,,,,,,,,59,70,Mark Ingram,,,,,,,,,,IngrMa01,RB,,,,,,,0,405,33.8,8.1,50,4.2,166,13.8,6,769,4.6,64.1,6,,,0.0,,2015,,NOR,,,60,,,,216,,,215,1174,,,,,,,,5.4,0,
2016,,,,,,10,,,1989-12-21,,79.3,,,,,,,,,,,,,,,2,0,0,0,,16,14,5-9,,,,,,,,,,,,,,,,,22,75,Mark Ingram,,,,,,,,,,IngrMa01,RB,,,,,,,4,319,19.9,6.9,46,2.9,205,12.8,6,1043,5.1,65.2,10,,,0.0,,2016,,NOR,,,58,,,,251,,,215,1362,,,,,,,,5.4,0,
2017,,,,,,14,,,1989-12-21,,81.7,,,,,,,,,,,,,,,3,0,1,0,,16,13,5-9,,,,,,,,,,,,,,,,,54,72,Mark Ingram,,,,,,,,,,IngrMa01,RB,,,,,,,0,416,26.0,7.2,58,3.6,230,14.4,12,1124,4.9,70.3,12,,,0.0,,2017,,NOR,,,71,,,,288,,,215,1540,,,,,,,,5.3,0,
2018,,,,,,7,,,1989-12-21,,77.8,,,,,,,,,,,,,,,3,0,1,0,,12,6,5-9,,,,,,,,,,,,,,,,,28,38,Mark Ingram,,,,,,,,,,IngrMa01,rb,,,,,,,1,170,14.2,8.1,21,1.8,138,11.5,6,645,4.7,53.8,7,,,0.0,,2018,,NOR,,,27,,,,159,,,215,815,,,,,,,,5.1,0,
2019,,,,,,12,,,1989-12-21,,89.7,,,,,,,,,,,,,,,2,0,2,0,,15,15,5-9,,,,,,,,,,,,,,,,,25,53,Mark Ingram,,,,,,,,,,IngrMa01,RB,,,,,,,5,247,16.5,9.5,26,1.7,202,13.5,10,1018,5.0,67.9,15,,,0.0,,2019,,BAL,,,29,,,,228,,,215,1265,,,,,,,,5.5,0,
Career,,,,,,70,0.0,,1989-12-21,,80.6,,,,,,,,,,,,,,,17,0,5,1,,121,79,5-9,,,,,,,,,,,,,,,,,59,75,Mark Ingram,,,,,,,,,,IngrMa01,,,,,,,,10,1845,15.2,7.3,254,2.1,1523,12.6,60,7025,4.6,58.1,70,,,0.0,,Career,1.0,,,,315,,,,1777,,,215,8870,,,,,,,,5.0,1,
