,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2008,,-45.0,-45.0,,1460.0,9,,1.0,1986-12-01,,51.7,0.0,,41.1,,,,,,,,,,,,4,0.0,0.0,0.0,,16,15,5-10,100.0,,,,1.0,0.0,12.0,1.0,,,,,12.0,0.0,,68.0,60,21.0,DeSean Jackson,,0.0,,,0.0,0.0,0.0,0.0,0.0,JackDe00,WR,1.0,440.0,50.0,,,0.0,2,912,57.0,14.7,62,3.9,17.0,1.1,1.0,96.0,5.6,6.0,3,,,0.0,,2008,,PHI,,,120,0.0,,,79,,,175,1008,0.0,,,0.0,12.0,,8.8,12.8,0.0,
Career,,-45.0,-45.0,,12217.0,91,0.0,1.0,1986-12-01,,56.0,0.0,,,,,,,,,,,,,,15,0.0,3.0,0.0,,156,149,5-10,100.0,,,,1.0,0.0,37.0,5.0,,,,,12.0,0.0,,85.0,91,67.0,DeSean Jackson,,0.0,,,0.0,0.0,0.0,0.0,0.0,JackDe00,,4.0,1313.0,139.0,,,0.0,55,10420,66.8,17.4,598,3.8,70.0,0.4,4.0,447.0,6.4,2.9,59,,,0.0,,Career,2.0,,,,1067,0.0,,,668,,,175,10867,0.0,,,0.0,7.4,,9.4,16.3,0.0,
2009,,,,,1734.0,14,,,1986-12-01,,53.0,,,,,,,,,,,,,,,3,0.0,1.0,0.0,,15,15,5-10,,,,,,0.0,0.0,1.0,,,,,0.0,,,85.0,71,67.0,DeSean Jackson,,,,,,,,,,JackDe00,WR,2.0,441.0,29.0,,,,9,1156,77.1,18.6,62,4.1,11.0,0.7,1.0,137.0,12.5,9.1,10,,,0.0,,2009,,PHI,,,117,,,,73,,,175,1293,,,,,0.0,,15.2,17.7,0.0,
2010,,,,,1391.0,11,,,1986-12-01,,49.5,,,,,,,,,,,,,,,4,0.0,1.0,0.0,,14,14,5-10,,,,,,,,,,,,,,,,65.0,91,31.0,DeSean Jackson,,,,,,,,,,JackDe00,WR,1.0,231.0,20.0,,,,6,1056,75.4,22.5,47,3.4,16.0,1.1,1.0,104.0,6.5,7.4,7,,,0.0,,2010,,PHI,,,95,,,,63,,,175,1160,,,,,,,11.6,18.4,0.0,
2011,,,,,1123.0,8,0.0,,1986-12-01,,55.8,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,15,15,5-10,,,,,,0.0,7.0,1.0,,,,,7.0,,,51.0,62,18.0,DeSean Jackson,,,,,,,,,,JackDe00,WR,0.0,114.0,17.0,,,,4,961,64.1,16.6,58,3.9,7.0,0.5,0.0,41.0,5.9,2.7,4,,,0.0,,2011,1.0,PHI,,,104,,,,65,,,175,1002,,,,,7.0,,6.7,15.4,0.0,
2012,,,,,690.0,5,,,1986-12-01,,51.7,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,11,11,5-10,,,,,,,,,,,,,,,,-3.0,77,5.0,DeSean Jackson,,,,,,,,,,JackDe00,WR,0.0,-3.0,1.0,,,,2,700,63.6,15.6,45,4.1,3.0,0.3,0.0,-7.0,-2.3,-0.6,2,,,0.0,,2012,,PHI,,,87,,,,48,,,175,693,,,,,,,-3.0,14.4,0.0,
2013,,,,,1415.0,11,,,1986-12-01,,65.1,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,16,5-10,,,,,,0.0,10.0,1.0,,,,,10.0,,,32.0,61,8.0,DeSean Jackson,,,,,,,,,,JackDe00,WR,0.0,71.0,14.0,,,,9,1332,83.3,16.2,82,5.1,3.0,0.2,0.0,2.0,0.7,0.1,9,,,0.0,,2013,,PHI,,,126,,,,85,,,175,1334,,,,,10.0,,5.1,15.7,0.0,
2014,,,,,1176.0,8,,,1986-12-01,,58.9,,,,,,,,,,,,,,,0,,,,,15,13,5-10,,,,,,,,,,,,,,,,0.0,81,9.0,DeSean Jackson,,,,,,,,,,JackDe00,WR,0.0,0.0,1.0,,,,6,1169,77.9,20.9,56,3.7,4.0,0.3,0.0,7.0,1.8,0.5,6,,,,,2014,,WAS,,,95,,,,60,,,175,1176,,,,,,,0.0,19.6,,
2015,,,,,531.0,4,0.0,,1986-12-01,,61.2,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,10,9,5-10,,,,,,0.0,8.0,1.0,,,,,8.0,,,2.0,77,,DeSean Jackson,,,,,,,,,,JackDe00,WR,0.0,-5.0,2.0,,,,4,528,52.8,17.6,30,3.0,,,,,,,4,,,0.0,,2015,1.0,WAS,,,49,,,,30,,,175,528,,,,,8.0,,-2.5,17.6,0.0,
2016,,,,,,9,,,1986-12-01,,56.0,,,,,,,,,,,,,,,0,,,,,15,15,5-10,,,,,,,,,,,,,,,,,80,,DeSean Jackson,,,,,,,,,,JackDe00,WR,,,,,,,4,1005,67.0,17.9,56,3.7,,,,,,,4,,,,,2016,,WAS,,,100,,,,56,,,175,1005,,,,,,,,17.9,,
