,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,5,13,,1988-04-10,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,5-10,,,2,0,,,,,,,,23,,,,,,,Kareem Jackson,,,,10,,,,,,JackKa99,RCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2010,58,HOU,,,,,,,,,,183,,,,,,,,,,0.0,23
2011,,,,,,5,5,,1988-04-10,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,15,13,5-10,,,1,0,,,,,,,,0,,,,,,,Kareem Jackson,,,,6,,,,,,JackKa99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,37,HOU,,,,,,,,,,183,,,,,,,,,,0.0,0
2012,,,,,,7,6,,1988-04-10,,,,,,,,,,,,,,,,,,,,,,16,15,5-10,,,4,1,,,,,,,,63,,,,,,,Kareem Jackson,,,,17,,,,,,JackKa99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,47,HOU,,,,,,,,,,183,,,,,,,,,,,71
2013,,,,,,5,5,,1988-04-10,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,14,14,5-10,,,0,0,,,,,,,,0,,,,,,,Kareem Jackson,,,,9,,,,,,JackKa99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,51,HOU,,,,,,,,,,183,,,,,,,,,,0.0,0
2014,,,,,,6,9,,1988-04-10,,,,,,,,,,,,,,,,,,,,,,13,13,5-10,,,3,0,,,,,,,,65,,,,,,,Kareem Jackson,,,,9,,,,,,JackKa99,cb/LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,48,HOU,,,,,,,,,,183,,,,,,,,,,,97
2015,,,,,,5,6,,1988-04-10,,,,,,,,,,,,,,,,,0.0,1.0,1.0,34.0,,12,10,5-10,,,2,1,,,,,,,,50,,,,,,,Kareem Jackson,,,,6,,,,,,JackKa99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,52,HOU,,,,,,,,,,183,,,,,,,,,,34.0,77
2016,,,,,,5,11,,1988-04-10,,,,,,,,,,,,,,,,,,,,,,14,13,5-10,,,1,1,,,,,,,,42,,,,,,,Kareem Jackson,,,,4,,,,,,JackKa99,cb/lcb/rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,51,HOU,,,,,,,,,,183,,,,,,,,,,,42
2017,,,,,,5,19,,1988-04-10,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,14,5-10,,,1,0,,,,,,,,2,,,,,,,Kareem Jackson,,,,10,,,,,,JackKa99,RCB,,,,,,,,,,,,,,,,,,,,,,1.0,,2017,54,HOU,,,,,,,,,,183,,,,,,,,,,0.0,2
2018,,,,,,7,17,,1988-04-10,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,16,16,5-10,,,2,0,,,,,,,,13,,,,,,,Kareem Jackson,,,,17,,,,,,JackKa99,CB/s,,,,,,,,,,,,,,,,,,,,,,1.0,,2018,70,HOU,,,,,,,,,,183,,,,,,,,,,0.0,24
2019,,,,,,6,23,,1988-04-10,,,,,,,,,,,,,,,,,0.0,1.0,0.0,70.0,,13,13,5-10,,,2,0,,,,,,,,24,,,,,,,Kareem Jackson,,,,10,,,,,,JackKa99,DB,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,48,DEN,,,,,,,,,,183,,,,,,,,,,70.0,28
