,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2012,,,,,198.0,8,9,,1988-10-29,,,,,,,,,,,,,,,,,3.0,0.0,1.0,2.0,,15,14,5-10,,,4,3,,,,,,,,41,,,,14.0,,,Janoris Jenkins,,,,14,,,,,,JenkJa03,RCB,0.0,46.0,9.0,,,,,,,,,,,,,,,,,,,0.0,,2012,64,STL,,,,,,,,,,190,,,,,,,,5.1,,2.0,150
2013,,,,,,7,6,,1988-10-29,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,16,5-10,,,1,0,,,,,,,,5,,,,,,,Janoris Jenkins,,,,14,,,,,,JenkJa03,RCB,,,,,,,,,,,,,,,,,,,,,,1.0,,2013,54,STL,,,,,,,,,,190,,,,,,,,,,0.0,5
2014,,,,,,6,4,,1988-10-29,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,14,13,5-10,,,2,2,,,,,,,,99,,,,,,,Janoris Jenkins,,,,5,,,,,,JenkJa03,RCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,55,STL,,,,,,,,,,190,,,,,,,,,,0.0,124
2015,,,,,5.0,6,8,,1988-10-29,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,15,15,5-10,,,3,0,,,,,,,,0,,,,5.0,,,Janoris Jenkins,,,,15,,,,,,JenkJa03,RCB,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,0.0,,2015,56,STL,,,,,,,,,,190,,,,,,,,5.0,,0.0,0
2016,,,,,,12,5,,1988-10-29,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,15,15,5-10,,,3,0,,,,,,,,23,,,,,,,Janoris Jenkins,,,,18,,,,,,JenkJa03,RCB,,,,,,,,,,,,,,,,,,,,,,1.0,,2016,44,NYG,,,,,,,,,,190,,,,,,,,,,0.0,26
2017,,,,,,4,4,,1988-10-29,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,9,8,5-10,,,3,2,,,,,,,,53,,,,,,,Janoris Jenkins,,,,9,,,,,,JenkJa03,CB,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,27,NYG,,,,,,,,,,190,,,,,,,,,,0.0,113
2018,,,,,,5,11,,1988-10-29,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,15,5-10,,,2,0,,,,,,,,29,,,,,,,Janoris Jenkins,,,,15,,,,,,JenkJa03,cb/RCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,59,NYG,,,,,,,,,,190,,,,,,,,,,0.0,29
2019,,,,,,6,11,,1988-10-29,,,,,,,,,,,,,,,,,,,,,,15,14,5-10,,,5,0,,,,,,,,62,,,,,,,Janoris Jenkins,,,,16,,,,,,JenkJa03,,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,50,2TM,,,,,,,,,,190,,,,,,,,,,,84
,,,,,,1,2,,1988-10-29,,,,,,,,,,,,,,,,,,,,,,2,1,5-10,,,1,0,,,,,,,,0,,,,,,,Janoris Jenkins,,,,2,,,,,,JenkJa03,db,,,,,,,,,,,,,,,,,,,,,,0.0,,,5,NOR,,,,,,,,,,190,,,,,,,,,,,0
Career,,,,,584.0,54,58,,1988-10-29,,,,,,,,,,,,,,,,,4.0,6.0,2.0,2.0,,115,110,5-10,,,23,7,,,,,,,,99,,,,14.0,,,Janoris Jenkins,,,,106,,,,,,JenkJa03,,0.0,51.0,10.0,,,,,,,,,,,,,,,,,,,2.0,,Career,409,,,,,,,,,,,190,,,,,,,,5.1,,2.0,531
