,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,10,,,1989-02-08,,56.8,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,13,13,6-3,,,,,,,,,,,,,,,,,80,19.0,Julio Jones,,,,,,,,,,JoneJu02,WR,,,,,,,8,959,73.8,17.8,54,4.2,6.0,0.5,0.0,56.0,9.3,4.3,8,,,0.0,,2011,,ATL,,,95,,,,60,,,220,1015,,,,,,,,16.9,0.0,
2012,,,,,,13,,,1989-02-08,,61.7,,,,,,,,,,,,,,,0,,,,,16,15,6-3,,,,,,,,,,,,,,,,,80,18.0,Julio Jones,,,,,,,,,,JoneJu02,WR,,,,,,,10,1198,74.9,15.2,79,4.9,6.0,0.4,0.0,30.0,5.0,1.9,10,,,,,2012,,ATL,,,128,,,,85,,,220,1228,,,,,,,,14.4,,
2013,,,,,,5,,,1989-02-08,,69.5,,,,,,,,,,,,,,,2,0.0,1.0,18.0,,5,5,6-3,,,,,,,,,,,,,,,,,81,7.0,Julio Jones,,,,,,,,,,JoneJu02,wr,,,,,,,2,580,116.0,14.1,41,8.2,1.0,0.2,0.0,7.0,7.0,1.4,2,,,0.0,,2013,,ATL,,,59,,,,42,,,220,587,,,,,,,,14.0,18.0,
2014,,,,,,14,,,1989-02-08,,63.8,,,,,,,,,,,,,,,2,0.0,1.0,0.0,,15,15,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,79,1.0,Julio Jones,,,,1.0,,,,,,JoneJu02,WR,,,,,,,6,1593,106.2,15.3,104,6.9,1.0,0.1,0.0,1.0,1.0,0.1,6,,,0.0,,2014,,ATL,,,163,,,,105,,,220,1594,,,,,,,,15.2,0.0,0.0
2015,,,,,,16,,,1989-02-08,,67.0,,,,,,,,,,,,,,,3,0.0,3.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,70,,Julio Jones,,,,,,,,,,JoneJu02,WR,,,,,,,8,1871,116.9,13.8,136,8.5,,,,,,,8,,,0.0,,2015,,ATL,,,203,,,,136,,,220,1871,,,,,,,,13.8,0.0,
2016,,,,,,16,,,1989-02-08,,64.3,,,,,,,,,,,,,,,0,,,,,14,14,6-3,,,,,,,,,,,,,,,,,75,,Julio Jones,,,,,,,,,,JoneJu02,WR,,,,,,,6,1409,100.6,17.0,83,5.9,,,,,,,6,,,,,2016,,ATL,,,129,,,,83,,,220,1409,,,,,,,,17.0,,
2017,,,,,,14,,,1989-02-08,,59.5,,,,,,,,,,,,,,,0,,,,,16,16,6-3,,,,,,,,,,,,,,,,,53,15.0,Julio Jones,,,,,,,,,,JoneJu02,WR,,,,,,,3,1444,90.3,16.4,88,5.5,1.0,0.1,0.0,15.0,15.0,0.9,3,,,,,2017,,ATL,,,148,,,,89,,,220,1459,,,,,,,,16.4,,
2018,,,,,,14,,,1989-02-08,,66.5,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,58,11.0,Julio Jones,,,,,,,,,,JoneJu02,WR,,,,,,,8,1677,104.8,14.8,113,7.1,2.0,0.1,0.0,12.0,6.0,0.8,8,,,0.0,,2018,,ATL,,,170,,,,115,,,220,1689,,,,,,,,14.7,0.0,
2019,,,,,,11,,,1989-02-08,,63.1,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,15,15,6-3,,,,,,,,,,,,,,,,,54,1.0,Julio Jones,,,,,,,,,,JoneJu02,WR,,,,,,,6,1394,92.9,14.1,99,6.6,2.0,0.1,0.0,-3.0,-1.5,-0.2,6,,,0.0,,2019,,ATL,,,157,,,,101,,,220,1391,,,,,,,,13.8,0.0,
Career,,,,,,113,,,1989-02-08,,63.7,,,,,,,,,,,,,,,11,0.0,5.0,18.0,,126,125,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,81,19.0,Julio Jones,,,,1.0,,,,,,JoneJu02,,,,,,,,57,12125,96.2,15.2,797,6.3,19.0,0.2,0.0,118.0,6.2,0.9,57,,,0.0,,Career,,,,,1252,,,,816,,,220,12243,,,,,,,,15.0,18.0,0.0
