,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,7,13,,1989-07-10,,,,,,,,,,,,,,,,,0,0,1,0,,16,15,6-4,,,0,0,,,,,,,,0,,,,,,,Cameron Jordan,,,,4,,,,,,JordCa00,DE,,,,,,,,,,,,,,,,,,,,,,1.0,,2011,18,NOR,,,,,,,,,,287,,,,,,,,,,0,0
2012,,,,,,7,26,,1989-07-10,,,,,,,,,,,,,,,,,0,3,2,0,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Cameron Jordan,,,,3,,,,,,JordCa00,DE/dt,,,,,,,,,,,,,,,,,,,,,,8.0,,2012,41,NOR,,,,,,,,,,287,,,,,,,,,,0,0
2013,,,,,,13,18,,1989-07-10,,,,,,,,,,,,,,,,,0,2,2,11,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Cameron Jordan,,,,4,,,,,,JordCa00,DE,,,,,,,,,,,,,,,,,,,,,,12.5,,2013,29,NOR,,,,,,,,,,287,,,,,,,,,,11,0
2014,,,,,,7,19,,1989-07-10,,,,,,,,,,,,,,,,,0,0,1,0,,16,16,6-4,,,1,0,,,,,,,,6,,,,,,,Cameron Jordan,,,,5,,,,,,JordCa00,DE,,,,,,,,,,,,,,,,,,,,,,7.5,,2014,32,NOR,,,,,,,,,,287,,,,,,,,,,0,6
2015,,,,,,8,13,,1989-07-10,,,,,,,,,,,,,,,,,0,1,2,0,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Cameron Jordan,,,,5,,,,,,JordCa00,DE,,,,,,,,,,,,,,,,,,,,,,10.0,,2015,32,NOR,,,,,,,,,,287,,,,,,,,,,0,0
2016,,,,,,7,18,,1989-07-10,,,,,,,,,,,,,,,,,0,1,0,0,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Cameron Jordan,,,,6,,,,,,JordCa00,DE,,,,,,,,,,,,,,,,,,,,,,7.5,,2016,40,NOR,,,,,,,,,,287,,,,,,,,,,0,0
2017,,,,,,17,14,,1989-07-10,,,,,,,,,,,,,,,,,0,2,0,0,,16,16,6-4,,,1,1,,,,,,,,0,,,,,,,Cameron Jordan,,,,11,,,,,,JordCa00,DE,,,,,,,,,,,,,,,,,,,,,,13.0,,2017,48,NOR,,,,,,,,,,287,,,,,,,,,,0,0
2018,,,,,,13,14,,1989-07-10,,,,,,,,,,,,,,,,,0,1,1,0,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Cameron Jordan,,,,6,,,,,,JordCa00,DE,,,,,,,,,,,,,,,,,,,,,,12.0,,2018,35,NOR,,,,,,,,,,287,,,,,,,,,,0,0
2019,,,,,,13,16,,1989-07-10,,,,,,,,,,,,,,,,,0,0,1,0,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Cameron Jordan,,,,3,,,,,,JordCa00,DE,,,,,,,,,,,,,,,,,,,,,,15.5,,2019,37,NOR,,,,,,,,,,287,,,,,,,,,,0,0
Career,,,,,,92,151,,1989-07-10,,,,,,,,,,,,,,,,,0,10,10,11,,144,143,6-4,,,2,1,,,,,,,,6,,,,,,,Cameron Jordan,,,,47,,,,,,JordCa00,,,,,,,,,,,,,,,,,,,,,,,87.0,,Career,312,,,,,,,,,,,287,,,,,,,,,,11,6
