,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2012,,,,,,0,,0,1988-02-17,,,0,,,,,,,,,,,0.0,,,,,,,0.0,,,6-1,,,,,0,,,,,,,,,0,,,,,Case Keenum,,,,,,,0,0,,KeenCa00,,,,,,,,,,,,,,,,,,,,,,,,,2012,,HOU,,,,0,,,,,,215,,0,,,,,,,,,
2013,92.0,5.4,6.6,97.0,,4,,253,1988-02-17,,,137,72.0,48.3,,,,,,,,,,,,6.0,0.0,0.0,0.0,,8.0,8.0,6-1,2.4,105.0,,,6,,,,,,,,,66,,,,22.0,Case Keenum,89.0,5.73,89.0,,54.2,3.6,9,1760,7.0,KeenCa00,QB,,,,,0-8-0,78.2,,,,,,,14.0,1.8,1.0,72.0,5.1,9.0,1.0,,95.0,0.0,,2013,,HOU,,,,19,,91.0,14.0,,,215,72.0,201,96.0,12.8,220.0,,,,5.1,0.0,
2014,,4.63,5.0,,,1,,77,1988-02-17,,,45,,,,,,,,,,,1.0,,,1.0,0.0,0.0,0.0,1.0,2.0,2.0,6-1,2.6,,,,2,,,,,,,,,35,,,,13.0,Case Keenum,,5.25,,,58.4,2.6,2,435,5.6,KeenCa00,,,,,,2-0-0,72.2,,,,,,,10.0,5.0,0.0,35.0,3.5,17.5,0.0,,,0.0,,2014,,2TM,,,,3,,,10.0,,,215,35.0,15,,9.7,217.5,,,,3.5,0.0,
,,4.63,5.0,,,1,,77,1988-02-17,,,45,,,,,,,,,,,1.0,,,1.0,0.0,0.0,0.0,1.0,2.0,2.0,6-1,2.6,,,,2,,,,,,,,,35,,,,13.0,Case Keenum,,5.25,,,58.4,2.6,2,435,5.6,KeenCa00,qb,,,,,2-0-0,72.2,,,,,,,10.0,5.0,0.0,35.0,3.5,17.5,0.0,,,0.0,,,,HOU,,,,3,,,10.0,,,215,35.0,15,,9.7,217.5,,,,3.5,0.0,
2015,104.0,6.47,6.9,98.0,,2,,125,1988-02-17,,,76,92.0,39.4,,,,,,,,,,,,3.0,0.0,0.0,-12.0,,6.0,5.0,6-1,0.8,129.0,,,1,,,,,,,,,60,,,,4.0,Case Keenum,96.0,6.2,97.0,,60.8,3.2,4,828,6.6,KeenCa00,qb,,,,,3-2-0,87.7,,,,,,,12.0,2.0,0.0,5.0,0.4,0.8,0.0,,123.0,0.0,,2015,,STL,,,,4,,85.0,12.0,,,215,5.0,28,86.0,10.9,138.0,,,,0.4,-12.0,
2016,85.0,5.06,5.9,84.0,,3,,322,1988-02-17,,,196,93.0,37.1,,,,,,,,,1.0,,,5.0,0.0,3.0,0.0,2.0,10.0,9.0,6-1,3.4,81.0,,,11,,,,,,,,,65,,,,13.0,Case Keenum,93.0,5.97,82.0,,60.9,2.8,9,2201,6.8,KeenCa00,QB,,,,,4-5-0,76.4,,,,,,,20.0,2.0,1.0,51.0,2.6,5.1,1.0,,95.0,0.0,,2016,,LAR,,,,23,,81.0,20.0,,,215,51.0,140,93.0,11.2,220.1,,,,2.6,0.0,
2017,112.0,7.03,7.6,108.0,,14,,481,1988-02-17,,,325,115.0,74.3,,,,,,,,,1.0,,,1.0,1.0,0.0,0.0,3.0,15.0,14.0,6-1,1.5,115.0,,,7,,,,,,,,,65,,,,22.0,Case Keenum,109.0,6.78,111.0,,67.6,4.6,22,3547,7.4,KeenCa00,QB,,,,,11-3-0,98.3,,,,,,,40.0,2.7,1.0,160.0,4.0,10.7,1.0,,114.0,0.0,,2017,,MIN,,,,22,,102.0,40.0,,,215,160.0,136,104.0,10.9,236.5,,,,4.0,0.0,
2018,90.0,5.39,6.1,87.0,,9,,586,1988-02-17,,,365,95.0,45.5,,,,,,,,,3.0,,,11.0,0.0,5.0,-13.0,4.0,16.0,16.0,6-1,2.6,97.0,,,15,,,,,,,,,64,,,,17.0,Case Keenum,93.0,5.9,88.0,,62.3,3.1,18,3890,6.6,KeenCa00,QB,,,,,6-10-0,81.2,,,,,,,26.0,1.6,2.0,93.0,3.6,5.8,2.0,,109.0,0.0,,2018,,DEN,,,,34,,85.0,26.0,,,215,93.0,235,89.0,10.7,243.1,,,,3.6,-13.0,
2019,96.0,5.94,6.9,96.0,,4,,247,1988-02-17,,,160,102.0,,,,,,,,,,,,,6.0,0.0,1.0,-2.0,,10.0,8.0,6-1,2.0,105.0,,,5,,,,,,,,,69,,,,9.0,Case Keenum,93.0,5.96,100.0,,64.8,4.5,11,1707,6.9,KeenCa00,QB,,,,,1-7-0,91.3,,,,,,,9.0,0.9,1.0,12.0,1.3,1.2,1.0,,107.0,0.0,,2019,,WAS,,,,15,,99.0,9.0,,,215,12.0,145,93.0,10.7,170.7,,,,1.3,-2.0,
Career,,5.81,6.6,,,37,,2091,1988-02-17,,,1304,,,,,,,,,,,6.0,,,33.0,1.0,9.0,-27.0,10.0,67.0,62.0,6-1,2.2,,,,47,,,,,,,,,69,,,,22.0,Case Keenum,,6.09,,,62.4,3.6,75,14368,6.9,KeenCa00,,,,,,27-35-0,85.3,,,,,,,131.0,2.0,6.0,428.0,3.3,6.4,6.0,,,0.0,,Career,,,,,,120,,,131.0,,,215,428.0,900,,11.0,214.4,,,,3.3,-27.0,
