,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,7,22,,1988-08-16,,,,,,,,,,,,,,,,,0,4,0,0,,16,16,6-4,,,1,1,,,,,,,,9,,,,,,,Ryan Kerrigan,,,,4,,,,,,KerrRy00,LOLB,,,,,,,,,,,,,,,,,,,,,,7.5,,2011,42,WAS,,,,,,,,,,265,,,,,,,,,,0,9
2012,,,,,,9,12,,1988-08-16,,,,,,,,,,,,,,,,,0,2,1,0,,16,16,6-4,,,1,1,,,,,,,,28,,,,,,,Ryan Kerrigan,,,,8,,,,,,KerrRy00,lb/LOLB,,,,,,,,,,,,,,,,,,,,,,8.5,,2012,42,WAS,,,,,,,,,,265,,,,,,,,,,0,28
2013,,,,,,7,19,,1988-08-16,,,,,,,,,,,,,,,,,0,4,0,0,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Ryan Kerrigan,,,,3,,,,,,KerrRy00,LOLB,,,,,,,,,,,,,,,,,,,,,,8.5,,2013,47,WAS,,,,,,,,,,265,,,,,,,,,,0,0
2014,,,,,,8,13,,1988-08-16,,,,,,,,,,,,,,,,,0,5,1,0,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Ryan Kerrigan,,,,1,,,,,,KerrRy00,LOLB,,,,,,,,,,,,,,,,,,,,,,13.5,,2014,51,WAS,,,,,,,,,,265,,,,,,,,,,0,0
2015,,,,,,8,9,,1988-08-16,,,,,,,,,,,,,,,,,0,2,0,0,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Ryan Kerrigan,,,,3,,,,,,KerrRy00,LB,,,,,,,,,,,,,,,,,,,,,,9.5,,2015,33,WAS,,,,,,,,,,265,,,,,,,,,,0,0
2016,,,,,,10,7,,1988-08-16,,,,,,,,,,,,,,,,,0,2,0,0,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Ryan Kerrigan,,,,2,,,,,,KerrRy00,LB,,,,,,,,,,,,,,,,,,,,,,11.0,,2016,26,WAS,,,,,,,,,,265,,,,,,,,,,0,0
2017,,,,,,11,12,,1988-08-16,,,,,,,,,,,,,,,,,0,3,0,0,,16,16,6-4,,,1,1,,,,,,,,24,,,,,,,Ryan Kerrigan,,,,1,,,,,,KerrRy00,LB/mlb,,,,,,,,,,,,,,,,,,,,,,13.0,,2017,34,WAS,,,,,,,,,,265,,,,,,,,,,0,24
2018,,,,,,10,13,,1988-08-16,,,,,,,,,,,,,,,,,0,3,1,0,,16,16,6-4,,,0,0,,,,,,,,0,,,,,,,Ryan Kerrigan,,,,1,,,,,,KerrRy00,LB,,,,,,,,,,,,,,,,,,,,,,13.0,,2018,30,WAS,,,,,,,,,,265,,,,,,,,,,0,0
2019,,,,,,5,9,,1988-08-16,,,,,,,,,,,,,,,,,0,1,0,0,,12,12,6-4,,,0,0,,,,,,,,0,,,,,,,Ryan Kerrigan,,,,1,,,,,,KerrRy00,LB,,,,,,,,,,,,,,,,,,,,,,5.5,,2019,16,WAS,,,,,,,,,,265,,,,,,,,,,0,0
Career,,,,,,75,116,,1988-08-16,,,,,,,,,,,,,,,,,0,26,3,0,,140,140,6-4,,,3,3,,,,,,,,28,,,,,,,Ryan Kerrigan,,,,24,,,,,,KerrRy00,,,,,,,,,,,,,,,,,,,,,,,90.0,,Career,321,,,,,,,,,,,265,,,,,,,,,,0,61
