,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2006,,,,,,1,,,1984-05-19,,61.9,,,,,,,,,,,,,,,0,,,,,15,3,6-6,,,,,,,,,,,,,,,,,31,,Marcedes Lewis,,,,,,,,,,LewiMa00,te,,,,,,,1,126,8.4,9.7,13,0.9,,,,,,,1,,,,,2006,,JAX,,,21,,,,13,,,267,126,,,,,,,,9.7,,
2007,,,,,,5,,,1984-05-19,,64.9,,,,,,,,,,,,,,,0,,,,,16,16,6-6,,,,,,,,,,,,,,,,,25,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,2,391,24.4,10.6,37,2.3,,,,,,,2,,,,,2007,,JAX,,,57,,,,37,,,267,391,,,,,,,,10.6,,
2008,,,,,,4,,,1984-05-19,,55.4,,,,,,,,,,,,,,,0,,,,,16,16,6-6,,,,,,,,,,,,,,,,,30,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,2,489,30.6,11.9,41,2.6,,,,,,,2,,,,,2008,,JAX,,,74,,,,41,,,267,489,,,,,,,,11.9,,
2009,,,,,,5,,,1984-05-19,,54.2,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,15,15,6-6,,,,,,,,,,,,,,,,,47,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,2,518,34.5,16.2,32,2.1,,,,,,,2,,,0.0,,2009,,JAX,,,59,,,,32,,,267,518,,,,,,,,16.2,0.0,
2010,,,,,,8,,,1984-05-19,,65.2,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,16,6-6,,,,,,,,,,,,,,,,,42,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,10,700,43.8,12.1,58,3.6,,,,,,,10,,,0.0,,2010,,JAX,,,89,,,,58,,,267,700,,,,,,,,12.1,0.0,
2011,,,,,,4,,,1984-05-19,,45.9,,,,,,,,,,,,,,,0,0.0,2.0,0.0,,15,15,6-6,,,,,,,,,,,,,,,,,62,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,0,460,30.7,11.8,39,2.6,,,,,,,0,,,0.0,,2011,,JAX,,,85,,,,39,,,267,460,,,,,,,,11.8,0.0,
2012,,,,,,4,,,1984-05-19,,67.5,,,,,,,,,,,,,,,0,0.0,1.0,0.0,,16,15,6-6,,,,,,,,,,,,,,,,,26,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,4,540,33.8,10.4,52,3.3,,,,,,,4,,,0.0,,2012,,JAX,,,77,,,,52,,,267,540,,,,,,,,10.4,0.0,
2013,,,,,,2,,,1984-05-19,,53.2,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,11,11,6-6,,,,,,,,,,,,,,,,,41,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,4,359,32.6,14.4,25,2.3,,,,,,,4,,,0.0,,2013,,JAX,,,47,,,,25,,,267,359,,,,,,,,14.4,0.0,
2014,,,,,,1,,,1984-05-19,,58.1,,,,,,,,,,,,,,,0,,,,,8,8,6-6,,,,,,,,,,,,,,,,,63,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,2,206,25.8,11.4,18,2.3,,,,,,,2,,,,,2014,,JAX,,,31,,,,18,,,267,206,,,,,,,,11.4,,
2015,,,,,,2,,,1984-05-19,,43.2,,,,,,,,,,,,,,,0,,,,,16,16,6-6,,,,,,,,,,,,,,,,,45,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,0,226,14.1,14.1,16,1.0,,,,,,,0,,,,,2015,,JAX,,,37,,,,16,,,267,226,,,,,,,,14.1,,
2016,,,,,,1,,,1984-05-19,,66.7,,,,,,,,,,,,,,,0,,,,,10,10,6-6,,,,,,,,,,,,,,,,,37,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,1,169,16.9,8.5,20,2.0,,,,,,,1,,,,,2016,,JAX,,,30,,,,20,,,267,169,,,,,,,,8.5,,
2017,,,,,,3,,,1984-05-19,,50.0,,,,,,,,,,,,,,,0,,,,,16,16,6-6,,,,,,,,,,,,,,,,,37,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,5,318,19.9,13.3,24,1.5,,,,,,,5,,,,,2017,,JAX,,,48,,,,24,,,267,318,,,,,,,,13.3,,
2018,,,,,,0,,,1984-05-19,,75.0,,,,,,,,,,,,,,,0,,,,,16,4,6-6,,,,,,,,,,,,,,,,,30,,Marcedes Lewis,,,,,,,,,,LewiMa00,te,,,,,,,0,39,2.4,13.0,3,0.2,,,,,,,0,,,,,2018,,GNB,,,4,,,,3,,,267,39,,,,,,,,13.0,,
2019,,,,,,1,,,1984-05-19,,78.9,,,,,,,,,,,,,,,0,,,,,16,11,6-6,,,,,,,,,,,,,,,,,25,,Marcedes Lewis,,,,,,,,,,LewiMa00,TE,,,,,,,1,156,9.8,10.4,15,0.9,,,,,,,1,,,,,2019,,GNB,,,19,,,,15,,,267,156,,,,,,,,10.4,,
Career,,,,,,41,,,1984-05-19,,58.0,,,,,,,,,,,,,,,4,1.0,3.0,0.0,,202,172,6-6,,,,,,,,,,,,,,,,,63,,Marcedes Lewis,,,,,,,,,,LewiMa00,,,,,,,,34,4697,23.3,12.0,393,1.9,,,,,,,34,,,0.0,,Career,,,,,678,,,,393,,,267,4697,,,,,,,,12.0,0.0,
