,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2007,,28.0,28.0,,,7,,1.0,1986-04-22,,69.2,1.0,,96.4,,,,,,,,,,,,2,0.0,0.0,0.0,,13,13,5-11,0.0,,,,0.0,,,,,,,,,8.0,,,30.0,56,Marshawn Lynch,,8.0,,,100.0,100.0,1.0,8.0,8.0,LyncMa00,RB,,,,,,139.6,0.0,184.0,14.2,10.2,18.0,1.4,280,21.5,7,1115,4.0,85.8,7,,,0.0,,2007,,BUF,,,26.0,0.0,,,298,,,215,1299,0.0,,8.0,0.6,,,,4.4,0.0,
2011,,0.0,0.0,,,9,,2.0,1986-04-22,,68.3,0.0,,3.2,,,,,,,,,,,,3,0.0,2.0,0.0,,15,15,5-11,0.0,,,,0.0,,,,,,,,,0.0,,,26.0,47,Marshawn Lynch,,0.0,,,0.0,0.0,0.0,0.0,0.0,LyncMa00,RB,,,,,,39.6,1.0,212.0,14.1,7.6,28.0,1.9,285,19.0,12,1204,4.2,80.3,13,,,0.0,,2011,,SEA,,,41.0,0.0,,,313,,,215,1416,0.0,,,0.0,,,,4.5,0.0,
Career,,9.33,9.3,,,90,1.0,3.0,1986-04-22,,73.4,1.0,,,,,,,,,,,,,,28,1.0,8.0,-1.0,,149,135,5-11,0.0,,,,0.0,,,,,,,,,8.0,,,55.0,79,Marshawn Lynch,,2.67,,,33.3,33.3,1.0,8.0,2.7,LyncMa00,,,,,,,81.9,9.0,2214.0,14.9,7.7,287.0,1.9,2453,16.5,85,10413,4.2,69.9,94,,,0.0,,Career,1.0,,,,391.0,0.0,,,2740,,,215,12627,0.0,,8.0,0.1,,,,4.6,-1.0,
2008,,,,,,10,,,1986-04-22,,70.1,,,,,,,,,,,,,,,2,0.0,2.0,0.0,,15,15,5-11,,,,,,,,,,,,,,,,,42.0,50,Marshawn Lynch,,,,,,,,,,LyncMa00,RB,,,,,,,1.0,300.0,20.0,6.4,47.0,3.1,250,16.7,8,1036,4.1,69.1,9,,,0.0,,2008,,BUF,,,67.0,,,,297,,,215,1336,,,,,,,,4.5,0.0,
2009,,,,,,4,0.0,,1986-04-22,,75.7,,,,,,,,,,,,,,,3,0.0,2.0,0.0,,13,6,5-11,,,,,,,,,,,,,,,,,35.0,47,Marshawn Lynch,,,,,,,,,,LyncMa00,rb,,,,,,,0.0,179.0,13.8,6.4,28.0,2.2,120,9.2,2,450,3.8,34.6,2,,,0.0,,2009,1.0,BUF,,,37.0,,,,148,,,215,629,,,,,,,,4.3,0.0,
2010,,,,,,6,1.0,,1986-04-22,,84.6,,,,,,,,,,,,,,,4,0.0,0.0,0.0,,16,14,5-11,,,,,,,,,,,,,,,,,22.0,39,Marshawn Lynch,,,,,,,,,,LyncMa00,,,,,,,,0.0,145.0,9.1,6.6,22.0,1.4,202,12.6,6,737,3.6,46.1,6,,,0.0,,2010,0.0,2TM,,,26.0,,,,224,,,215,882,,,,,,,,3.9,0.0,
,,,,,,1,,,1986-04-22,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,4,3,5-11,,,,,,,,,,,,,,,,,7.0,17,Marshawn Lynch,,,,,,,,,,LyncMa00,rb,,,,,,,0.0,7.0,1.8,7.0,1.0,0.3,37,9.3,0,164,4.4,41.0,0,,,0.0,,,,BUF,,,1.0,,,,38,,,215,171,,,,,,,,4.5,0.0,
2012,,,,,,15,,,1986-04-22,,76.7,,,,,,,,,,,,,,,5,0.0,0.0,0.0,,16,15,5-11,,,,,,,,,,,,,,,,,27.0,77,Marshawn Lynch,,,,,,,,,,LyncMa00,RB,,,,,,,1.0,196.0,12.3,8.5,23.0,1.4,315,19.7,11,1590,5.0,99.4,12,,,0.0,,2012,,SEA,,,30.0,,,,338,,,215,1786,,,,,,,,5.3,0.0,
2013,,,,,,12,,,1986-04-22,,81.8,,,,,,,,,,,,,,,4,1.0,1.0,0.0,,16,16,5-11,,,,,,,,,,,,,,,,,55.0,43,Marshawn Lynch,,,,,,,,,,LyncMa00,RB,,,,,,,2.0,316.0,19.8,8.8,36.0,2.3,301,18.8,12,1257,4.2,78.6,14,,,0.0,,2013,,SEA,,,44.0,,,,337,,,215,1573,,,,,,,,4.7,0.0,
2014,,,,,,13,,,1986-04-22,,77.1,,,,,,,,,,,,,,,4,0.0,1.0,-1.0,,16,14,5-11,,,,,,,,,,,,,,,,,39.0,79,Marshawn Lynch,,,,,,,,,,LyncMa00,RB,,,,,,,4.0,367.0,22.9,9.9,37.0,2.3,280,17.5,13,1306,4.7,81.6,17,,,0.0,,2014,,SEA,,,48.0,,,,317,,,215,1673,,,,,,,,5.3,-1.0,
