,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,88.0,4.73,5.8,91.0,,5,,222,1986-09-05,,100.0,135,101.0,53.0,,,,,,,,,,,,1.0,0.0,1.0,0.0,,8,8,6-1,4.1,85.0,,,9,,,,,,,,,47,,,13.0,18.0,Colt McCoy,95.0,5.89,89.0,,60.8,2.7,6,1576,7.1,McCoCo00,QB,,,,,2-6-0,74.5,0.0,13.0,1.6,13.0,1.0,0.1,28.0,3.5,1.0,136.0,4.9,17.0,1.0,,76.0,0.0,,2010,,CLE,,,1.0,23,,82.0,29.0,,,212,149.0,132,101.0,11.7,197.0,,,,5.1,0.0,
2011,85.0,4.74,5.4,84.0,,5,,463,1986-09-05,,100.0,265,88.0,44.4,,,,,,,,,1.0,,,11.0,0.0,5.0,-9.0,3.0,13,13,6-1,2.4,107.0,,,11,,,,,,,,,56,,,-5.0,20.0,Colt McCoy,79.0,5.17,87.0,,57.2,3.0,14,2733,5.9,McCoCo00,QB,,,,,4-9-0,74.6,0.0,-5.0,-0.4,-5.0,1.0,0.1,61.0,4.7,0.0,212.0,3.5,16.3,0.0,,98.0,0.0,,2011,,CLE,,,1.0,32,,86.0,62.0,,,212,207.0,173,76.0,10.3,210.2,,,,3.3,-9.0,
2012,,3.52,5.8,,,0,,17,1986-09-05,,,9,,17.8,,,,,,,,,,,,0.0,,,,,3,0,6-1,0.0,,,,0,,,,,,,,,21,,,,15.0,Colt McCoy,,2.57,,,52.9,5.9,1,79,4.6,McCoCo00,,,,,,,85.2,,,,,,,4.0,1.3,0.0,15.0,3.8,5.0,0.0,,,,,2012,,CLE,,,,4,,,4.0,,,212,15.0,25,,8.8,26.3,,,,3.8,,
2013,,13.0,13.0,,,0,,1,1986-09-05,,,1,,4.6,,,,,,,,,,,,0.0,,,,,4,0,6-1,0.0,,,,0,,,,,,,,,13,,,,-1.0,Colt McCoy,,13.0,,,100.0,0.0,0,13,13.0,McCoCo00,,,,,,,118.7,,,,,,,6.0,1.5,0.0,-6.0,-1.0,-1.5,0.0,,,,,2013,,SFO,,,,0,,,6.0,,,212,-6.0,0,,13.0,3.3,,,,-1.0,,
2014,100.0,6.1,7.8,112.0,,3,,128,1986-09-05,,,91,135.0,36.4,,,,,,,,,1.0,,,6.0,0.0,2.0,-1.0,2.0,5,4,6-1,2.3,104.0,,,3,,,,,,,,,70,,,,20.0,Colt McCoy,103.0,6.48,111.0,,71.1,3.1,4,1057,8.3,McCoCo00,qb,,,,,1-3-0,96.4,,,,,,,16.0,3.2,1.0,66.0,4.1,13.2,1.0,,59.0,0.0,,2014,,WAS,,,,17,,84.0,16.0,,,212,66.0,117,125.0,11.6,211.4,,,,4.1,-1.0,
2015,,11.25,13.5,,,0,,11,1986-09-05,,,7,,42.6,,,,,,,,,,,,1.0,0.0,0.0,0.0,,1,0,6-1,0.0,,,,0,,,,,,,,,71,,,,-1.0,Colt McCoy,,9.58,,,63.6,9.1,1,128,11.6,McCoCo00,,,,,,,133.9,,,,,,,3.0,3.0,0.0,-3.0,-1.0,-3.0,0.0,,,0.0,,2015,,WAS,,,,1,,,3.0,,,212,-3.0,13,,18.3,128.0,,,,-1.0,0.0,
2017,,,,,,0,,0,1986-09-05,,,0,,,,,,,,,,,,,,,,,,,1,0,6-1,,,,,0,,,,,,,,,0,,,,,Colt McCoy,,,,,,,0,0,,McCoCo00,,,,,,,,,,,,,,,,,,,,,,,,,2017,,WAS,,,,0,,,,,,212,,0,,,0.0,,,,,,
2018,76.0,4.35,5.5,79.0,,1,,54,1986-09-05,,,34,98.0,35.8,,,,,,,,,,,,1.0,0.0,0.0,0.0,,3,2,6-1,5.6,47.0,,,3,,,,,,,,,53,,,,15.0,Colt McCoy,87.0,5.6,85.0,,63.0,5.6,3,372,6.9,McCoCo00,qb,,,,,0-2-0,78.6,,,,,,,10.0,3.3,0.0,63.0,6.3,21.0,0.0,,74.0,0.0,,2018,,WAS,,,,6,,112.0,10.0,,,212,63.0,36,94.0,10.9,124.0,,,,6.3,0.0,
2019,,1.0,2.9,,,0,,27,1986-09-05,,,18,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,,1,1,6-1,3.7,,,,1,,,,,,,,,22,,,,9.0,Colt McCoy,,2.36,,,66.7,0.0,0,122,4.5,McCoCo00,qb,,,,,0-1-0,61.0,,,,,,,2.0,2.0,0.0,14.0,7.0,14.0,0.0,,,0.0,,2019,,WAS,,,,6,,,2.0,,,212,14.0,44,,6.8,122.0,,,,7.0,0.0,
Career,,4.85,5.9,,,14,,923,1986-09-05,,100.0,560,,,,,,,,,,,2.0,,,22.0,0.0,9.0,-10.0,5.0,39,28,6-1,2.9,,,,27,,,,,,,,,71,,,13.0,20.0,Colt McCoy,,5.47,,,60.7,3.1,29,6080,6.6,McCoCo00,,,,,,7-21-0,78.4,0.0,8.0,0.2,4.0,2.0,0.1,130.0,3.3,2.0,497.0,3.8,12.7,2.0,,,0.0,,Career,,,,,2.0,89,,,132.0,,,212,505.0,540,,10.9,155.9,,,,3.8,-10.0,
