,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,11,13,,1987-08-13,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,16,16,5-10,,,7,0,,,,,,,,50,,,,,,,Devin McCourty,,,,17,,,,,,McCoDe99,LCB/rcb,,,,,,,,,,,,,,,,,,,,,,1.0,,2010,69,NWE,,,,,,,,,,195,,,,,,,,,,0.0,110
2011,,,,,62.0,5,22,,1987-08-13,,,,,,,,,,,,,,,,,,,,,,14,14,5-10,,,2,0,,0.0,24.0,1.0,,,,38,24.0,,,,,,Devin McCourty,,,,13,,,,,,McCoDe99,cb/LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,65,NWE,,,,,,,,,,195,,,,,,24.0,,,,,38
2012,,,,,707.0,7,19,,1987-08-13,,,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,,16,16,5-10,,,5,0,,1.0,654.0,27.0,,,,34,104.0,,,,,,Devin McCourty,,,,13,,,,,,McCoDe99,LCB/S,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,63,NWE,,,,,,,,,,195,,,,,,24.2,,,,0.0,53
2013,,,,,176.0,9,21,,1987-08-13,,,,,,,,,,,,,,,,,0.0,2.0,1.0,44.0,,15,15,5-10,,,1,0,,0.0,132.0,7.0,,,,0,27.0,,,,,,Devin McCourty,,,,9,,,,,,McCoDe99,db/S,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,48,NWE,,,,,,,,,,195,,,,,,18.9,,,,44.0,0
2014,,,,,97.0,6,17,,1987-08-13,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,5-10,,,2,0,,0.0,27.0,1.0,,,,60,27.0,,,,,,Devin McCourty,,,,6,,,,,,McCoDe99,S,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,51,NWE,,,,,,,,,,195,,,,,,27.0,,,,0.0,70
2015,,,,,27.0,6,13,,1987-08-13,,,,,,,,,,,,,,,,,,,,,,14,14,5-10,,,1,0,,0.0,0.0,2.0,,,,27,0.0,,,,,,Devin McCourty,,,,5,,,,,,McCoDe99,S,,,,,,,,,,,,,,,,,,,,,,1.0,,2015,51,NWE,,,,,,,,,,195,,,,,,0.0,,,,,27
2016,,,,,12.0,10,16,,1987-08-13,,,,,,,,,,,,,,,,,0.0,1.0,1.0,3.0,,16,16,5-10,,,1,0,,0.0,9.0,2.0,,,,0,9.0,,,,,,Devin McCourty,,,,7,,,,,,McCoDe99,S,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,67,NWE,,,,,,,,,,195,,,,,,4.5,,,,3.0,0
2017,,,,,15.0,6,17,,1987-08-13,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,16,5-10,,,1,0,,0.0,15.0,2.0,,,,0,12.0,,,,,,Devin McCourty,,,,5,,,,,,McCoDe99,S/ss,,,,,,,,,,,,,,,,,,,,,,1.0,,2017,80,NWE,,,,,,,,,,195,,,,,,7.5,,,,0.0,0
2018,,,,,,6,23,,1987-08-13,,,,,,,,,,,,,,,,,0.0,1.0,2.0,14.0,,16,16,5-10,,,1,1,,,,,,,,84,,,,,,,Devin McCourty,,,,4,,,,,,McCoDe99,db/S,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,59,NWE,,,,,,,,,,195,,,,,,,,,,14.0,84
2019,,,,,,9,12,,1987-08-13,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,16,16,5-10,,,5,0,,,,,,,,24,,,,,,,Devin McCourty,,,,7,,,,,,McCoDe99,DB,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,46,NWE,,,,,,,,,,195,,,,,,,,,,0.0,49
