,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2002,,-3.22,-1.3,,,0,,18,1979-07-04,,,7,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,2.0,0.0,6-4,11.1,,,,2,,,,,,,,,26,,,,20.0,Josh McCown,,0.7,,,38.9,0.0,0,66,3.7,McCoJo01,,,,,,,10.2,,,,,,,1.0,0.5,0.0,20.0,20.0,10.0,0.0,,,0.0,,2002,,ARI,,,,5,,,1.0,,,218,20.0,50,,9.4,33.0,,,,20.0,0.0,
2003,76.0,3.53,5.1,86.0,,3,,166,1979-07-04,,,95,93.0,,,,,,,,,,1.0,,,10.0,0.0,4.0,-12.0,1.0,8.0,3.0,6-4,3.6,92.0,,,6,,,,,,,,,60,,,,16.0,Josh McCown,72.0,4.42,87.0,,57.2,3.0,5,1018,6.1,McCoJo01,qb,,,,,1-2-0,70.3,,,,,,,28.0,3.5,1.0,158.0,5.6,19.8,1.0,,56.0,0.0,,2003,,ARI,,,,25,,86.0,28.0,,,218,158.0,174,88.0,10.7,127.3,,,,5.6,-12.0,
2004,90.0,4.6,5.6,92.0,,7,,408,1979-07-04,,100.0,233,92.0,,,,,,,,,,2.0,,,12.0,0.0,2.0,0.0,2.0,14.0,13.0,6-4,2.5,112.0,,,10,,,,,,,,,48,,,-5.0,12.0,Josh McCown,86.0,5.12,92.0,,57.1,2.7,11,2511,6.2,McCoJo01,QB,,,,,6-7-0,74.1,0.0,-5.0,-0.4,-5.0,1.0,0.1,36.0,2.6,2.0,112.0,3.1,8.0,2.0,,97.0,0.0,,2004,,ARI,,,1.0,31,,84.0,37.0,,,218,107.0,263,88.0,10.8,179.4,,,,2.9,0.0,
2005,94.0,4.93,5.6,92.0,,5,,270,1979-07-04,,,163,102.0,,,,,,,,,,,,,5.0,0.0,0.0,0.0,,9.0,6.0,6-4,4.1,84.0,,,11,,,,,,,,,49,,,,12.0,Josh McCown,100.0,6.02,92.0,,60.4,3.3,9,1836,6.8,McCoJo01,qb,,,,,3-3-0,74.9,,,,,,,29.0,3.2,0.0,139.0,4.8,15.4,0.0,,103.0,0.0,,2005,,ARI,,,,18,,91.0,29.0,,,218,139.0,101,98.0,11.3,204.0,,,,4.8,0.0,
2006,,,,,,0,,0,1979-07-04,,100.0,0,,,,,,,,,,,,,,0.0,,,,,2.0,0.0,6-4,,,,,0,,,,,,,,,0,,,8.0,0.0,Josh McCown,,,,,,,0,0,,McCoJo01,,,,,,,,0.0,15.0,7.5,7.5,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,2006,,DET,,,2.0,0,,,2.0,,,218,15.0,0,,,0.0,,,,7.5,,
2007,77.0,3.75,4.5,75.0,,1,,190,1979-07-04,,,111,92.0,35.2,,,,,,,,,,,,11.0,0.0,3.0,0.0,,9.0,9.0,6-4,5.8,57.0,,,11,,,,,,,,,46,,,,24.0,Josh McCown,84.0,5.19,83.0,,58.4,5.3,10,1151,6.1,McCoJo01,QB,,,,,2-7-0,69.4,,,,,,,29.0,3.2,0.0,143.0,4.9,15.9,0.0,,96.0,0.0,,2007,,OAK,,,,14,,114.0,29.0,,,218,143.0,92,83.0,10.4,127.9,,,,4.9,0.0,
2008,,,,,,0,,0,1979-07-04,,,0,,6.8,,,,,,,,,,,,0.0,,,,,2.0,0.0,6-4,,,,,0,,,,,,,,,0,,,,0.0,Josh McCown,,,,,,,0,0,,McCoJo01,,,,,,,,,,,,,,4.0,2.0,0.0,-3.0,-0.8,-1.5,0.0,,,,,2008,,CAR,,,,0,,,4.0,,,218,-3.0,0,,,0.0,,,,-0.8,,
2009,,-0.57,0.3,,,0,,6,1979-07-04,,,1,,1.8,,,,,,,,,,,,,,,,,1.0,0.0,6-4,0.0,,,,0,,,,,,,,,2,,,,,Josh McCown,,-0.57,,,16.7,0.0,0,2,0.3,McCoJo01,,,,,,,39.6,,,,,,,,,,,,,,,,,,2009,,CAR,,,,1,,,,,,218,,6,,2.0,2.0,,,,,,
2011,72.0,3.73,5.0,78.0,,2,,55,1979-07-04,,,35,111.0,33.9,,,,,,,,,,,,2.0,0.0,2.0,0.0,,3.0,2.0,6-4,7.3,27.0,,,4,,,,,,,,,49,,,,28.0,Josh McCown,95.0,5.98,79.0,,63.6,3.6,2,414,7.5,McCoJo01,qb,,,,,1-1-0,68.3,,,,,,,12.0,4.0,0.0,68.0,5.7,22.7,0.0,,59.0,0.0,,2011,,CHI,,,,7,,93.0,12.0,,,218,68.0,43,109.0,11.8,138.0,,,,5.7,0.0,
2012,,,,,,0,,0,1979-07-04,,,0,,,,,,,,,,,0.0,,,,,,,0.0,,,6-4,,,,,0,,,,,,,,,0,,,,,Josh McCown,,,,,,,0,0,,McCoJo01,,,,,,,,,,,,,,,,,,,,,,,,,2012,,CHI,,,,0,,,,,,218,,0,,,,,,,,,
2013,134.0,8.54,9.1,132.0,,8,,224,1979-07-04,,,149,119.0,83.4,,,,,,,,,1.0,,,3.0,0.0,2.0,0.0,1.0,8.0,5.0,6-4,0.4,138.0,,,1,,,,,,,,,80,,,,20.0,Josh McCown,129.0,7.63,129.0,,66.5,5.8,13,1829,8.2,McCoJo01,qb,,,,,3-2-0,109.0,,,,,,,13.0,1.6,1.0,69.0,5.3,8.6,1.0,,114.0,0.0,,2013,,CHI,,,,11,,116.0,13.0,,,218,69.0,37,125.0,12.3,228.6,,,,5.3,0.0,
2014,76.0,4.3,5.5,80.0,,4,,327,1979-07-04,,,184,76.0,38.0,,,,,,,,,,,,10.0,0.0,5.0,-3.0,,11.0,11.0,6-4,4.3,71.0,,,14,,,,,,,,,56,,,,16.0,Josh McCown,81.0,5.43,76.0,,56.3,3.4,11,2206,6.7,McCoJo01,QB,,,,,1-10-0,70.5,,,,,,,25.0,2.3,3.0,127.0,5.1,11.5,3.0,,73.0,0.0,,2014,,TAM,,,,36,,87.0,25.0,,,218,127.0,235,89.0,12.0,200.5,,,,5.1,-3.0,
2015,104.0,6.45,7.4,106.0,,5,,292,1979-07-04,,,186,103.0,50.3,,,,,,,,,1.0,,,9.0,0.0,0.0,-4.0,1.0,8.0,8.0,6-4,1.4,119.0,,,4,,,,,,,,,56,,,,13.0,Josh McCown,97.0,6.26,106.0,,63.7,4.1,12,2109,7.2,McCoJo01,QB,,,,,1-7-0,93.3,,,,,,,20.0,2.5,1.0,98.0,4.9,12.3,1.0,,90.0,0.0,,2015,,CLE,,,,23,,96.0,20.0,,,218,98.0,137,100.0,11.3,263.6,,,,4.9,-4.0,
2016,77.0,4.5,5.8,83.0,,1,,165,1979-07-04,,,90,67.0,31.5,,,,,,,,,,,,7.0,0.0,2.0,-7.0,,5.0,3.0,6-4,3.6,77.0,,,6,,,,,,,,,54,,,,7.0,Josh McCown,79.0,5.32,76.0,,54.5,3.6,6,1100,6.7,McCoJo01,qb,,,,,0-3-0,72.3,,,,,,,7.0,1.4,0.0,21.0,3.0,4.2,0.0,,69.0,0.0,,2016,,CLE,,,,18,,91.0,7.0,,,218,21.0,126,89.0,12.2,220.0,,,,3.0,-7.0,
2017,98.0,6.0,7.3,103.0,,9,,397,1979-07-04,,,267,114.0,60.0,,,,,,,,,1.0,,,11.0,0.0,6.0,-8.0,2.0,13.0,13.0,6-4,2.3,101.0,,,9,,,,,,,,,69,,,,22.0,Josh McCown,96.0,6.11,106.0,,67.3,4.5,18,2926,7.4,McCoJo01,QB,,,,,5-8-0,94.5,,,,,,,37.0,2.8,5.0,124.0,3.4,9.5,5.0,,80.0,0.0,,2017,,NYJ,,,,39,,101.0,37.0,,,218,124.0,264,104.0,11.0,225.1,,,,3.4,-8.0,
2018,58.0,2.94,3.4,52.0,,2,,110,1979-07-04,,,60,66.0,29.3,,,,,,,,,,,,0.0,,,,,4.0,3.0,6-4,3.6,79.0,,,4,,,,,,,,,41,,,,12.0,Josh McCown,63.0,4.31,54.0,,54.5,0.9,1,539,4.9,McCoJo01,qb,,,,,0-3-0,55.8,,,,,,,5.0,1.3,0.0,32.0,6.4,8.0,0.0,,105.0,,,2018,,NYJ,,,,7,,62.0,5.0,,,218,32.0,35,55.0,9.0,134.8,,,,6.4,,
2019,,4.8,4.8,,,0,,5,1979-07-04,,,3,,,,,,,,,,,,,,0.0,,,,,3.0,0.0,6-4,0.0,,,,0,,,,,,,,,13,,,,-1.0,Josh McCown,,4.8,,,60.0,0.0,0,24,4.8,McCoJo01,,,,,,,72.1,,,,,,,2.0,0.7,0.0,-2.0,-1.0,-0.7,0.0,,,,,2019,,PHI,,,,0,,,2.0,,,218,-2.0,0,,8.0,8.0,,,,-1.0,,
Career,,5.03,6.1,,,47,,2633,1979-07-04,,100.0,1584,,,,,,,,,,,6.0,,,81.0,0.0,26.0,-34.0,7.0,102.0,76.0,6-4,3.1,,,,82,,,,,,,,,80,,,8.0,28.0,Josh McCown,,5.64,,,60.2,3.7,98,17731,6.7,McCoJo01,,,,,,23-53-0,79.7,0.0,10.0,0.1,3.3,3.0,0.0,248.0,2.4,13.0,1106.0,4.5,10.8,13.0,,,0.0,,Career,,,,,3.0,235,,,251.0,,,218,1116.0,1563,,11.2,173.8,,,,4.4,-34.0,
