,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2007,87.0,4.49,5.1,83.0,,2,,111,1984-08-09,,,63,86.0,52.6,,,,,,,,,0.0,,,2,0.0,3.0,-4.0,1.0,9,3,6-3,4.5,77.0,,,5,,,,,,,,,57,,,,5,Matt Moore,97.0,5.9,79.0,,56.8,2.7,3,730,6.6,MoorMa01,qb,,,,,2-1-0,67.0,,,,,,,3,0.3,0,5,1.7,0.6,0,,107.0,0.0,,2007,,CAR,,,,6,,85.0,3,,,219,5,40,94.0,11.6,81.1,,,,1.7,-4.0,
2009,117.0,7.11,8.1,120.0,,3,,138,1984-08-09,,,85,102.0,65.8,,,,,,,,,1.0,,,2,0.0,1.0,-2.0,1.0,7,5,6-3,1.4,121.0,,,2,,,,,,,,,66,,,,5,Matt Moore,108.0,6.63,118.0,,61.6,5.8,8,1053,7.6,MoorMa01,qb,,,,,4-1-0,98.5,,,,,,,12,1.7,0,-3,-0.3,-0.4,0,,99.0,0.0,,2009,,CAR,,,,9,,121.0,12,,,219,-3,78,112.0,12.4,150.4,,,,-0.3,-2.0,
2010,65.0,2.67,3.5,66.0,,2,,143,1984-08-09,,,79,83.0,32.8,,,,,,,,,1.0,,,4,0.0,0.0,0.0,1.0,6,5,6-3,7.0,45.0,,,10,,,,,,,,,39,,,,8,Matt Moore,78.0,4.92,68.0,,55.2,3.5,5,857,6.0,MoorMa01,qb,,,,,1-4-0,55.6,,,,,,,5,0.8,0,25,5.0,4.2,0,,84.0,0.0,,2010,,CAR,,,,13,,91.0,5,,,219,25,90,81.0,10.8,142.8,,,,5.0,0.0,
2011,98.0,5.7,7.0,104.0,,8,,347,1984-08-09,,,210,100.0,57.2,,,,,,,,,1.0,,,14,0.0,3.0,-31.0,1.0,13,12,6-3,2.6,104.0,,,9,,,,,,,,,65,,,,16,Matt Moore,94.0,5.92,103.0,,60.5,4.6,16,2497,7.2,MoorMa01,QB,,,,,6-6-0,87.1,,,,,,,32,2.5,2,65,2.0,5.0,2,,74.0,0.0,,2011,,MIA,,,,36,,104.0,32,,,219,65,229,102.0,11.9,192.1,,,,2.0,-31.0,
2012,,6.76,7.9,,,0,,19,1984-08-09,,0.0,11,,62.0,,,,,,,,,,,,0,,,,,2,0,6-3,0.0,,,,0,,,,,,,,,37,,,0.0,1,Matt Moore,,5.81,,,57.9,5.3,1,131,6.9,MoorMa01,,,,,,,96.6,0.0,0.0,0.0,,0.0,0.0,5,2.5,0,-3,-0.6,-1.5,0,,,,,2012,,MIA,,,3.0,2,,,5,,,219,-3,9,,11.9,65.5,,,,-0.6,,
2013,,-6.17,-6.2,,,0,,6,1984-08-09,,,2,,1.6,,,,,,,,,,,,1,0.0,1.0,0.0,,1,0,6-3,33.3,,,,2,,,,,,,,,50,,,,0,Matt Moore,,8.83,,,33.3,0.0,0,53,8.8,MoorMa01,,,,,,,27.1,,,,,,,0,0.0,0,0,,0.0,0,,,0.0,,2013,,MIA,,,,0,,,0,,,219,0,0,,26.5,53.0,,,,,0.0,
2014,,5.25,5.3,,,0,,4,1984-08-09,,,2,,91.8,,,,,,,,,,,,0,,,,,2,0,6-3,0.0,,,,0,,,,,,,,,14,,,,-1,Matt Moore,,5.25,,,50.0,0.0,0,21,5.3,MoorMa01,,,,,,,65.6,,,,,,,2,1.0,0,-2,-1.0,-1.0,0,,,,,2014,,MIA,,,,0,,,2,,,219,-2,0,,10.5,10.5,,,,-1.0,,
2015,,14.0,14.0,,,0,,1,1984-08-09,,,1,,98.3,,,,,,,,,,,,0,,,,,1,0,6-3,0.0,,,,0,,,,,,,,,14,,,,0,Matt Moore,,14.0,,,100.0,0.0,0,14,14.0,MoorMa01,,,,,,,118.7,,,,,,,3,3.0,0,-2,-0.7,-2.0,0,,,,,2015,,MIA,,,,0,,,3,,,219,-2,0,,14.0,14.0,,,,-0.7,,
2016,134.0,8.48,8.6,123.0,,2,,87,1984-08-09,,,55,102.0,77.8,,,,,,,,,1.0,,,1,0.0,1.0,0.0,2.0,4,3,6-3,3.4,80.0,,,3,,,,,,,,,66,,,,-1,Matt Moore,141.0,8.19,124.0,,63.2,9.2,8,721,8.3,MoorMa01,qb,,,,,2-1-0,105.6,,,,,,,1,0.3,0,-1,-1.0,-0.3,0,,141.0,0.0,,2016,,MIA,,,,1,,157.0,1,,,219,-1,0,126.0,13.1,180.3,,,,-1.0,0.0,
2017,77.0,4.47,5.6,82.0,,2,,127,1984-08-09,,,78,93.0,44.3,,,,,,,,,1.0,,,0,,,,1.0,4,2,6-3,3.9,73.0,,,5,,,,,,,,,61,,,,7,Matt Moore,85.0,5.51,81.0,,61.4,3.1,4,861,6.8,MoorMa01,qb,,,,,0-2-0,75.6,,,,,,,3,0.8,0,9,3.0,2.3,0,,83.0,,,2017,,MIA,,,,12,,86.0,3,,,219,9,95,92.0,11.0,215.3,,,,3.0,,
