,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,105.0,6.24,7.2,106.0,,19,,517,1989-05-11,,100.0,310,98.0,58.1,,,,,,,,,1.0,,,5,0,3,-4,1.0,16,16,6-5,3.3,92.0,,,17,,,,,,,,,91,,,27.0,49,Cam Newton,112.0,6.87,100.0,,60.0,4.1,21,4051,7.8,NewtCa00,QB,,,,,6-10-0,84.5,0.0,27.0,1.7,27.0,1.0,0.1,126,7.9,14,706,5.6,44.1,14,,99.0,0.0,,2011,,CAR,,,1.0,35,,97.0,127,,,245,733,260,115.0,13.1,253.2,,,,5.8,-4,
2012,109.0,6.65,7.6,111.0,,16,,485,1989-05-11,,0.0,280,89.0,58.3,,,,,,,,,1.0,,,10,0,3,-8,1.0,16,16,6-5,2.5,105.0,,,12,,,,,,,,,82,,,6.0,72,Cam Newton,113.0,6.96,101.0,,57.7,3.9,19,3869,8.0,NewtCa00,QB,,,,,7-9-0,86.2,0.0,6.0,0.4,,0.0,0.0,127,7.9,8,741,5.8,46.3,8,,96.0,0.0,,2012,,CAR,,,1.0,36,,96.0,127,,,245,747,244,117.0,13.8,241.8,,,,5.9,-8,
2013,96.0,5.69,6.9,101.0,,16,,473,1989-05-11,,,292,100.0,64.3,,,,,,,,,4.0,,,3,0,1,-8,4.0,16,16,6-5,2.7,98.0,,,13,,,,,,,,,79,,,,56,Cam Newton,92.0,5.9,103.0,,61.7,5.1,24,3379,7.1,NewtCa00,QB,,,,,12-4-0,88.8,,,,,,,111,6.9,6,585,5.3,36.6,6,,85.0,0.0,,2013,,CAR,,,,43,,108.0,111,,,245,585,336,100.0,11.6,211.2,,,,5.3,-8,
2014,91.0,5.45,6.6,95.0,,12,,448,1989-05-11,,,262,85.0,57.3,,,,,,,,,3.0,,,12,0,3,-13,2.0,14,14,6-5,2.7,98.0,,,12,,,,,,,,,51,,,,22,Cam Newton,89.0,5.82,92.0,,58.5,4.0,18,3127,7.0,NewtCa00,QB,,,,,5-8-1,82.1,,,,,,,103,7.4,5,539,5.2,38.5,5,,89.0,0.0,,2014,,CAR,,,,38,,94.0,103,,,245,539,300,95.0,11.9,223.4,,,,5.2,-13,
2015,115.0,7.2,8.3,119.0,,20,,495,1989-05-11,,,296,88.0,67.0,,,,,,,,,3.0,,,5,0,1,-10,4.0,16,16,6-5,2.0,107.0,,,10,,,,,,,,,74,,,,47,Cam Newton,108.0,6.73,115.0,,59.8,7.1,35,3837,7.8,NewtCa00,QB,,,,,15-1-0,99.4,,,,,,,132,8.3,10,636,4.8,39.8,10,,98.0,0.0,,2015,,CAR,,,,33,,132.0,132,,,245,636,284,113.0,13.0,239.8,,,,4.8,-10,
2016,90.0,5.46,6.4,92.0,,11,,510,1989-05-11,,,270,61.0,48.0,,,,,,,,,,,,3,0,1,0,,15,14,6-5,2.7,93.0,,,14,,,,,,,,,88,,,,28,Cam Newton,91.0,5.92,81.0,,52.9,3.7,19,3509,6.9,NewtCa00,QB,,,,,6-8-0,75.8,,,,,,,90,6.0,5,359,4.0,23.9,5,,96.0,0.0,,2016,,CAR,,,,36,,92.0,90,,,245,359,277,94.0,13.0,233.9,,,,4.0,0,
2017,88.0,5.28,6.1,88.0,,15,,492,1989-05-11,,,291,85.0,53.3,,,,,,,,,1.0,,,9,0,3,-17,3.0,16,16,6-5,3.3,85.0,,,16,,,,,,,,,64,,,,69,Cam Newton,90.0,5.81,88.0,,59.1,4.5,22,3302,6.7,NewtCa00,QB,,,,,11-5-0,80.7,,,,,,,139,8.7,6,754,5.4,47.1,6,,98.0,0.0,,2017,,CAR,,,,35,,101.0,139,,,245,754,242,90.0,11.3,206.4,,,,5.4,-17,
2018,100.0,6.15,7.0,99.0,,13,,471,1989-05-11,,,320,117.0,55.0,,,,,,,,,2.0,,,6,0,1,0,2.0,14,14,6-5,2.8,93.0,,,13,,,,,,,,,82,,,,29,Cam Newton,101.0,6.36,105.0,,67.9,5.1,24,3395,7.2,NewtCa00,QB,,,,,6-8-0,94.2,,,,,,,101,7.2,4,488,4.8,34.9,4,,106.0,0.0,,2018,,CAR,,,,29,,107.0,101,,,245,488,213,100.0,10.6,242.5,,,,4.8,0,
2019,85.0,5.09,5.9,83.0,,1,,89,1989-05-11,,,50,70.0,23.1,,,,,,,,,,,,2,0,0,0,,2,2,6-5,1.1,119.0,,,1,,,,,,,,,44,,,,3,Cam Newton,85.0,5.57,72.0,,56.2,0.0,0,572,6.4,NewtCa00,qb,,,,,0-2-0,71.0,,,,,,,5,2.5,0,-2,-0.4,-1.0,0,,103.0,0.0,,2019,,CAR,,,,6,,51.0,5,,,245,-2,43,83.0,11.4,286.0,,,,-0.4,0,
Career,,6.0,7.0,,,123,,3980,1989-05-11,,50.0,2371,,,,,,,,,,,15.0,,,55,0,16,-60,17.0,125,124,6-5,2.7,,,,108,,,,,,,,,91,,,27.0,72,Cam Newton,,6.28,,,59.6,4.6,182,29041,7.3,NewtCa00,,,,,,68-55-1,86.1,0.0,33.0,0.3,33.0,1.0,0.0,934,7.5,58,4806,5.1,38.4,58,,,0.0,,Career,,,,,2.0,291,,,935,,,245,4839,2199,,12.2,232.3,,,,5.2,-60,
