,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,12.0,2,5,,1989-01-01,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,,16,0,6-5,,,0,0,,0.0,12.0,1.0,,,,0,12.0,,,,,,Jason Pierre-Paul,,,,6,,,,,,PierJa99,,,,,,,,,,,,,,,,,,,,,,,4.5,,2010,25,NYG,,,,,,,,,,275,,,,,,12.0,,,,0.0,0
2011,,,,,,14,20,,1989-01-01,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,16,12,6-5,,,0,0,,,,,,,,0,,,,,,,Jason Pierre-Paul,,,,7,,,,,,PierJa99,DE,,,,,,,,,,,,,,,,,,,,,,16.5,1.0,2011,66,NYG,,,,,,,,,,275,,,,,,,,,,0.0,0
2012,,,,,,10,23,,1989-01-01,,,,,,,,,,,,,,,,,0.0,1.0,1.0,10.0,,16,15,6-5,,,1,1,,,,,,,,28,,,,,,,Jason Pierre-Paul,,,,5,,,,,,PierJa99,DE,,,,,,,,,,,,,,,,,,,,,,6.5,,2012,43,NYG,,,,,,,,,,275,,,,,,,,,,10.0,28
2013,,,,,,5,7,,1989-01-01,,,,,,,,,,,,,,,,,,,,,,11,6,6-5,,,1,1,,,,,,,,24,,,,,,,Jason Pierre-Paul,,,,4,,,,,,PierJa99,de,,,,,,,,,,,,,,,,,,,,,,2.0,,2013,20,NYG,,,,,,,,,,275,,,,,,,,,,,24
2014,,,,,,9,22,,1989-01-01,,,,,,,,,,,,,,,,,0.0,3.0,1.0,0.0,,16,16,6-5,,,0,0,,,,,,,,0,,,,,,,Jason Pierre-Paul,,,,6,,,,,,PierJa99,DE,,,,,,,,,,,,,,,,,,,,,,12.5,,2014,54,NYG,,,,,,,,,,275,,,,,,,,,,0.0,0
2015,,,,,,4,5,,1989-01-01,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,8,8,6-5,,,0,0,,,,,,,,0,,,,,,,Jason Pierre-Paul,,,,6,,,,,,PierJa99,DE,,,,,,,,,,,,,,,,,,,,,,1.0,,2015,21,NYG,,,,,,,,,,275,,,,,,,,,,0.0,0
2016,,,,,,8,18,,1989-01-01,,,,,,,,,,,,,,,,,0.0,3.0,1.0,43.0,,12,12,6-5,,,0,0,,,,,,,,0,,,,,,,Jason Pierre-Paul,,,,8,,,,,,PierJa99,DE,,,,,,,,,,,,,,,,,,,,,,7.0,,2016,35,NYG,,,,,,,,,,275,,,,,,,,,,43.0,0
2017,,,,,,8,20,,1989-01-01,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,16,16,6-5,,,0,0,,,,,,,,0,,,,,,,Jason Pierre-Paul,,,,5,,,,,,PierJa99,DE,,,,,,,,,,,,,,,,,,,,,,8.5,,2017,48,NYG,,,,,,,,,,275,,,,,,,,,,0.0,0
2018,,,,,,8,10,,1989-01-01,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,16,16,6-5,,,0,0,,,,,,,,0,,,,,,,Jason Pierre-Paul,,,,2,,,,,,PierJa99,DE,,,,,,,,,,,,,,,,,,,,,,12.5,,2018,48,TAM,,,,,,,,,,275,,,,,,,,,,0.0,0
2019,,,,,,4,3,,1989-01-01,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,10,8,6-5,,,0,0,,,,,,,,0,,,,,,,Jason Pierre-Paul,,,,2,,,,,,PierJa99,de/lb,,,,,,,,,,,,,,,,,,,,,,8.5,,2019,24,TAM,,,,,,,,,,275,,,,,,,,,,0.0,0
Career,,,,,117.0,72,133,,1989-01-01,,,,,,,,,,,,,,,,,0.0,16.0,8.0,53.0,,137,109,6-5,,,2,2,,0.0,12.0,1.0,,,,28,12.0,,,,,,Jason Pierre-Paul,,,,51,,,,,,PierJa99,,,,,,,,,,,,,,,,,,,,,,,79.5,1.0,Career,384,,,,,,,,,,,275,,,,,,12.0,,,,53.0,52
