,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2013,,30.0,30.0,,,5,0.0,1.0,1988-10-27,,63.2,1.0,,17.7,,,,,,,,,,,,1,0,1,0,,16,11,5-10,0.0,,,,0.0,,,,,,,,,30.0,,,36,39,Bilal Powell,,30.0,,,100.0,0.0,0.0,30.0,30.0,PoweBi00,RB,,,,,,118.7,0,272,17.0,7.6,36,2.3,176,11.0,1,697,4.0,43.6,1,,,0.0,,2013,1.0,NYJ,,,57,0.0,,,212,,,204,969,0.0,,30.0,1.9,,,,4.6,0,
2019,,0.0,0.0,,,1,,1.0,1988-10-27,,58.3,0.0,,1.8,,,,,,,,,,,,0,0,1,0,,13,1,5-10,0.0,,,,0.0,,,,,,,,,0.0,,,9,17,Bilal Powell,,0.0,,,0.0,0.0,0.0,0.0,0.0,PoweBi00,rb,,,,,,39.6,0,33,2.5,4.7,7,0.5,59,4.5,0,229,3.9,17.6,0,,,0.0,,2019,,NYJ,,,12,0.0,,,66,,,204,262,0.0,,,0.0,,,,4.0,0,
Career,,15.0,15.0,,5329.0,30,3.0,2.0,1988-10-27,,68.3,1.0,,,,,,,,,,,,,,8,1,6,0,,109,38,5-10,0.0,,,,0.0,0.0,54.0,3.0,,,,,25.0,30.0,,,36,75,Bilal Powell,,15.0,,,50.0,0.0,0.0,30.0,15.0,PoweBi00,,,,,,,95.8,5,1600,14.7,7.6,211,1.9,850,7.8,15,3675,4.3,33.7,20,,,0.0,,Career,5.0,,,,309,0.0,,,1061,,,204,5275,0.0,,30.0,0.3,18.0,,,5.0,0,
2011,,,,,,0,,,1988-10-27,,100.0,,,,,,,,,,,,,,,1,0,0,0,,2,0,5-10,,,,,,,,,,,,,,,,,7,6,Bilal Powell,,,,,,,,,,PoweBi00,,,,,,,,0,7,3.5,7.0,1,0.5,13,6.5,0,21,1.6,10.5,0,,,0.0,,2011,,NYJ,,,1,,,,14,,,204,28,,,,,,,,2.0,0,
2012,,,,,,3,0.0,,1988-10-27,,47.2,,,,,,,,,,,,,,,0,0,1,0,,14,2,5-10,,,,,,,,,,,,,,,,,16,18,Bilal Powell,,,,,,,,,,PoweBi00,rb,,,,,,,0,140,10.0,8.2,17,1.2,110,7.9,4,437,4.0,31.2,4,,,0.0,,2012,1.0,NYJ,,,36,,,,127,,,204,577,,,,,,,,4.5,0,
2014,,,,,267.0,1,2.0,,1988-10-27,,73.3,,,,,,,,,,,,,,,0,1,0,0,,15,1,5-10,,,,,,0.0,34.0,2.0,,,,,25.0,,,,20,15,Bilal Powell,,,,,,,,,,PoweBi00,rb,,,,,,,0,92,6.1,8.4,11,0.7,33,2.2,1,141,4.3,9.4,1,,,0.0,,2014,3.0,NYJ,,,15,,,,44,,,204,233,,,,,17.0,,,5.3,0,
2015,,,,,721.0,5,1.0,,1988-10-27,,74.6,,,,,,,,,,,,,,,2,0,2,0,,11,2,5-10,,,,,,0.0,20.0,1.0,,,,,20.0,,,,25,24,Bilal Powell,,,,,,,,,,PoweBi00,fb/rb,,,,,,,2,388,35.3,8.3,47,4.3,70,6.4,1,313,4.5,28.5,3,,,0.0,,2015,0.0,NYJ,,,63,,,,117,,,204,701,,,,,20.0,,,6.0,0,
2016,,,,,,6,,,1988-10-27,,78.4,,,,,,,,,,,,,,,1,0,0,0,,16,4,5-10,,,,,,,,,,,,,,,,,22,35,Bilal Powell,,,,,,,,,,PoweBi00,rb/wr,,,,,,,2,388,24.3,6.7,58,3.6,131,8.2,3,722,5.5,45.1,5,,,0.0,,2016,,NYJ,,,74,,,,189,,,204,1110,,,,,,,,5.9,0,
2017,,,,,,6,,,1988-10-27,,69.7,,,,,,,,,,,,,,,1,0,0,0,,15,10,5-10,,,,,,,,,,,,,,,,,31,75,Bilal Powell,,,,,,,,,,PoweBi00,RB,,,,,,,0,170,11.3,7.4,23,1.5,178,11.9,5,772,4.3,51.5,5,,,0.0,,2017,,NYJ,,,33,,,,201,,,204,942,,,,,,,,4.7,0,
2018,,,,,,3,,,1988-10-27,,61.1,,,,,,,,,,,,,,,2,0,1,0,,7,7,5-10,,,,,,,,,,,,,,,,,28,38,Bilal Powell,,,,,,,,,,PoweBi00,rb,,,,,,,1,110,15.7,10.0,11,1.6,80,11.4,0,343,4.3,49.0,1,,,0.0,,2018,,NYJ,,,18,,,,91,,,204,453,,,,,,,,5.0,0,
