,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2012,,0.0,0.0,,,2,1.0,1.0,1984-08-10,,,0.0,,0.0,100.0,55,55,81.3,32,26,4.0,3.0,,9,5,,,,,,16,0.0,5-10,0.0,,,,0.0,,,,1.0,1.0,53.0,,,0.0,,,,,Matt Prater,,0.0,,,0.0,0.0,0.0,0.0,0.0,PratMa20,K,,,,,,39.6,,,,,,,,,,,,,,,,0.0,,2012,2.0,DEN,11.0,10.0,,0.0,,,,7,7.0,201,,0.0,,,0.0,,,,,,
2018,,28.0,28.0,,,4,,1.0,1984-08-10,,,1.0,,,100.0,30,30,87.5,32,28,5.0,3.0,,7,5,,,,,,16,0.0,5-10,0.0,,,,0.0,,,,,,54.0,,,8.0,,,,,Matt Prater,,8.0,,,100.0,100.0,1.0,8.0,8.0,PratMa20,K,,,,,,139.6,,,,,,,,,,,,,,,,,,2018,,DET,12.0,12.0,,0.0,,,,8,8.0,201,,0.0,,8.0,0.5,,,,,,
Career,,14.0,14.0,,,38,1.0,2.0,1984-08-10,0.0,,1.0,,,98.1,462,453,83.8,358,300,69.0,53.0,0.0,105,74,0.0,0.0,1.0,0.0,0.0,187,,5-10,0.0,,,,0.0,,,,5.0,5.0,64.0,,,8.0,47.0,,,,Matt Prater,,4.0,,,50.0,50.0,1.0,8.0,4.0,PratMa20,,,,,4.0,,100.0,,,,,,,,,,,,,,,,0.0,,Career,8.0,,92.0,84.0,,0.0,139.0,,,87,84.0,201,,0.0,,8.0,0.0,,34.8,,,0.0,
2008,,,,,,1,0.0,,1984-08-10,,,,,,97.5,40,39,73.5,34,25,6.0,5.0,,11,5,,,,,,16,0.0,5-10,,,,,,,,,,,56.0,,,,,,,,Matt Prater,,,,,,,,,,PratMa20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2008,3.0,DEN,9.0,8.0,,,,,,8,7.0,201,,,,,,,,,,,
2009,,,,,,4,0.0,,1984-08-10,,,,,,100.0,32,32,85.7,35,30,3.0,2.0,,10,8,,,,,,16,0.0,5-10,,,,,,,,,,,51.0,,,,,,,,Matt Prater,,,,,,,,,,PratMa20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2009,1.0,DEN,8.0,6.0,,,,,,14,14.0,201,,,,,,,,,,,
2010,,,,,,3,0.0,,1984-08-10,,,,,,96.6,29,28,88.9,18,16,3.0,2.0,,5,4,0.0,0.0,1.0,0.0,,12,0.0,5-10,,,,,,,,,,,59.0,,,,,,,,Matt Prater,,,,,,,,,,PratMa20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2010,1.0,DEN,7.0,7.0,,,,,,3,3.0,201,,,,,,,,,,0.0,
2011,,,,,,2,0.0,,1984-08-10,,,,,,100.0,30,30,76.0,25,19,4.0,3.0,,7,3,,,,,,16,0.0,5-10,,,,,,,,,,,59.0,,,,,,,,Matt Prater,,,,,,,,,,PratMa20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,1.0,DEN,8.0,8.0,,,,,,6,5.0,201,,,,,,,,,,,
2007,,,,,,-1,,,1984-08-10,,,,,,100.0,1,1,25.0,4,1,,,,3,1,,,,,,4,0.0,5-10,,,,,,,,,,,45.0,,,,,,,,Matt Prater,,,,,,,,,,PratMa20,,,,,,,,,,,,,,,,,,,,,,,,,2007,,2TM,,,,,,,,1,,201,,,,,,,,,,,
,,,,,,-1,,,1984-08-10,,,,,,100.0,1,1,25.0,4,1,,,,3,1,,,,,,2,0.0,5-10,,,,,,,,,,,,,,,,,,,Matt Prater,,,,,,,,,,PratMa20,k,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,,,,,,,,1,,201,,,,,,,,,,,
2013,,,,,,5,,,1984-08-10,,,,,,100.0,75,75,96.2,26,25,7.0,6.0,,8,8,,,,,,16,0.0,5-10,,,,,,,,,2.0,2.0,64.0,,,,,,,,Matt Prater,,,,,,,,,,PratMa20,K,,,,,,,,,,,,,,,,,,,,,,,,2013,,DEN,5.0,5.0,,,,,,4,4.0,201,,,,,,,,,,,
