,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2004,,6.63,6.6,,,0,,8,1981-12-08,,,5,,,,,,,,,,,,,,1,0,1,0,,2,0,6-5,0.0,,,,0,,,,,,,,,13,,,,-1,Philip Rivers,,4.13,,,62.5,12.5,1,33,4.1,RivePh00,,,,,,,110.9,,,,,,,4,2.0,0,-5,-1.3,-2.5,0,,,0.0,,2004,,SDG,,,,0,,,4,,,228,-5,0,,6.6,16.5,,,,-1.3,0,
2005,,2.16,3.2,,,0,,22,1981-12-08,,,12,,,,,,,,,,,,,,2,0,0,0,,2,0,6-5,4.5,,,,1,,,,,,,,,22,,,,-1,Philip Rivers,,3.96,,,54.5,0.0,0,115,5.2,RivePh00,,,,,,,50.4,,,,,,,1,0.5,0,-1,-1.0,-0.5,0,,,0.0,,2005,,SDG,,,,3,,,1,,,228,-1,16,,9.6,57.5,,,,-1.0,0,
2006,116.0,6.73,7.4,116.0,,18,,460,1981-12-08,,,284,105.0,67.6,,,,,,,,,4.0,,,8,0,4,-25,4.0,16,16,6-5,2.0,118.0,,,9,,,,,,,,,57,,,,15,Philip Rivers,112.0,6.66,115.0,,61.7,4.8,22,3388,7.4,RivePh00,QB,,,,,14-2-0,92.0,,,,,,,48,3.0,0,49,1.0,3.1,0,,106.0,0.0,,2006,,SDG,,,,27,,109.0,48,,,228,49,144,111.0,11.9,211.8,,,,1.0,-25,
2007,102.0,5.67,6.3,100.0,,13,,460,1981-12-08,,,277,98.0,52.8,,,,,,,,,1.0,,,11,0,3,-4,1.0,16,16,6-5,3.3,96.0,,,15,,,,,,,,,49,,,,10,Philip Rivers,102.0,6.2,101.0,,60.2,4.6,21,3152,6.9,RivePh00,QB,,,,,11-5-0,82.4,,,,,,,29,1.8,1,33,1.1,2.1,1,,110.0,0.0,,2007,,SDG,,,,22,,106.0,29,,,228,33,163,99.0,11.4,197.0,,,,1.1,-4,
2008,128.0,8.04,8.8,129.0,,17,,478,1981-12-08,,,312,114.0,63.6,,,,,,,,,3.0,,,8,0,2,-5,4.0,16,16,6-5,2.3,110.0,,,11,,,,,,,,,67,,,,11,Philip Rivers,126.0,7.67,127.0,,65.3,7.1,34,4009,8.4,RivePh00,QB,,,,,8-8-0,105.5,,,,,,,31,1.9,0,84,2.7,5.3,0,,107.0,0.0,,2008,,SDG,,,,25,,134.0,31,,,228,84,151,127.0,12.8,250.6,,,,2.7,-5,
2009,131.0,8.3,9.1,131.0,,19,,486,1981-12-08,,,317,115.0,76.9,,,,,,,,,2.0,,,6,0,1,0,4.0,16,16,6-5,1.9,115.0,,,9,,,,,,,,,81,,,,15,Philip Rivers,132.0,8.0,126.0,,65.2,5.8,28,4254,8.8,RivePh00,QB,,,,,13-3-0,104.4,,,,,,,26,1.6,1,50,1.9,3.1,1,,109.0,0.0,,2009,,SDG,,,,25,,120.0,26,,,228,50,167,133.0,13.4,265.9,,,,1.9,0,
2010,122.0,7.77,8.7,124.0,,17,,541,1981-12-08,,,357,117.0,68.1,,,,,,,,,1.0,,,7,0,2,-18,1.0,16,16,6-5,2.4,108.0,,,13,,,,,,,,,59,,,,14,Philip Rivers,125.0,7.74,120.0,,66.0,5.5,30,4710,8.7,RivePh00,QB,,,,,9-7-0,101.8,,,,,,,29,1.8,0,52,1.8,3.3,0,,97.0,0.0,,2010,,SDG,,,,38,,115.0,29,,,228,52,227,128.0,13.2,294.4,,,,1.8,-18,
2011,110.0,6.64,7.3,109.0,,17,,582,1981-12-08,,,366,108.0,64.1,,,,,,,,,1.0,,,9,0,3,-1,1.0,16,16,6-5,3.4,90.0,,,20,,,,,,,,,58,,,,15,Philip Rivers,119.0,7.23,105.0,,62.9,4.6,27,4624,7.9,RivePh00,QB,,,,,8-8-0,88.7,,,,,,,26,1.6,1,36,1.4,2.3,1,,111.0,0.0,,2011,,SDG,,,,30,,104.0,26,,,228,36,198,117.0,12.6,289.0,,,,1.4,-1,
2012,94.0,5.45,6.5,97.0,,10,,527,1981-12-08,,0.0,338,112.0,42.6,,,,,,,,,,,,15,0,2,-8,,16,16,6-5,2.8,99.0,,,15,,,,,,,,,80,,,0.0,11,Philip Rivers,90.0,5.72,104.0,,64.1,4.9,26,3606,6.8,RivePh00,QB,,,,,7-9-0,88.6,0.0,0.0,0.0,,0.0,0.0,27,1.7,0,40,1.5,2.5,0,,83.0,0.0,,2012,,SDG,,,1.0,49,,107.0,27,,,228,40,311,94.0,10.7,225.4,,,,1.5,-8,
2013,124.0,7.79,8.5,123.0,,16,,544,1981-12-08,,0.0,378,130.0,75.3,,,,,,,,,4.0,,,3,0,1,-6,4.0,16,16,6-5,2.0,111.0,,,11,,,,,,,,,60,,,-9.0,18,Philip Rivers,127.0,7.54,124.0,,69.5,5.9,32,4478,8.2,RivePh00,QB,,,,,9-7-0,105.5,0.0,-9.0,-0.6,,0.0,0.0,28,1.8,0,72,2.6,4.5,0,,109.0,0.0,,2013,,SDG,,,1.0,30,,117.0,28,,,228,63,150,126.0,11.8,279.9,,,,2.3,-6,
