,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,2,2,,1987-09-07,,,,,,,,,,,,,,,,,,,,,,11,4,5-11,,,0.0,0.0,,,,,,,,0.0,,,,,,,Patrick Robinson,,,,2.0,,,,,,RobiPa99,rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2010,26,NOR,,,,,,,,,,191,,,,,,,,,,,0.0
2011,,,,,,4,9,,1987-09-07,,,,,,,,,,,,,,,,,,,,,,15,7,5-11,,,4.0,0.0,,,,,,,,25.0,,,,,,,Patrick Robinson,,,,15.0,,,,,,RobiPa99,cb/rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,38,NOR,,,,,,,,,,191,,,,,,,,,,,31.0
2012,,,,,,5,11,,1987-09-07,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,5-11,,,3.0,1.0,,,,,,,,99.0,,,,,,,Patrick Robinson,,,,18.0,,,,,,RobiPa99,RCB,,,,,,,,,,,,,,,,,,,,,,1.0,,2012,53,NOR,,,,,,,,,,191,,,,,,,,,,0.0,99.0
2013,,,,,,0,1,,1987-09-07,,,,,,,,,,,,,,,,,,,,,,2,0,5-11,,,,,,,,,,,,,,,,,,,Patrick Robinson,,,,,,,,,,RobiPa99,,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,1,NOR,,,,,,,,,,191,,,,,,,,,,,
2014,,,,,,3,7,,1987-09-07,,,,,,,,,,,,,,,,,,,,,,14,6,5-11,,,2.0,0.0,,,,,,,,2.0,,,,,,,Patrick Robinson,,,,11.0,,,,,,RobiPa99,db/rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,32,NOR,,,,,,,,,,191,,,,,,,,,,,2.0
2015,,,,,,4,6,,1987-09-07,,,,,,,,,,,,,,,,,,,,,,16,10,5-11,,,1.0,0.0,,,,,,,,27.0,,,,,,,Patrick Robinson,,,,8.0,,,,,,RobiPa99,cb/db/lcb/rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,43,SDG,,,,,,,,,,191,,,,,,,,,,,27.0
2016,,,,,,2,7,,1987-09-07,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,7,6,5-11,,,0.0,0.0,,,,,,,,0.0,,,,,,,Patrick Robinson,,,,5.0,,,,,,RobiPa99,lcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,19,IND,,,,,,,,,,191,,,,,,,,,,0.0,0.0
2017,,,,,,5,8,,1987-09-07,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,8,5-11,,,4.0,0.0,,,,,,,,19.0,,,,,,,Patrick Robinson,,,,18.0,,,,,,RobiPa99,CB,,,,,,,,,,,,,,,,,,,,,,1.0,,2017,39,PHI,,,,,,,,,,191,,,,,,,,,,0.0,36.0
2018,,,,,,0,1,,1987-09-07,,,,,,,,,,,,,,,,,,,,,,3,1,5-11,,,,,,,,,,,,,,,,,,,Patrick Robinson,,,,,,,,,,RobiPa99,rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,5,NOR,,,,,,,,,,191,,,,,,,,,,,
2019,,,,,,1,2,,1987-09-07,,,,,,,,,,,,,,,,,,,,,,11,0,5-11,,,0.0,0.0,,,,,,,,0.0,,,,,,,Patrick Robinson,,,,2.0,,,,,,RobiPa99,,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,14,NOR,,,,,,,,,,191,,,,,,,,,,,0.0
