,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2004,119.0,6.93,8.4,126.0,,11,,295,1982-03-02,,,196,123.0,,,,,,,,,,4.0,,,2,0,0,-6,5.0,14,13,6-5,3.7,90.0,,,11,,,,,,,,,58,,,,20,Ben Roethlisberger,124.0,7.41,122.0,,66.4,5.8,17,2621,8.9,RoetBe00,QB,,,,,13-0-0,98.1,,,,,,,56,4.0,1,144,2.6,10.3,1,,81.0,0.0,,2004,,PIT,,,,30,,120.0,56,,,240,144,213,136.0,13.4,187.2,,,,2.6,-6,
2005,124.0,7.53,8.7,128.0,,11,,268,1982-03-02,0.0,,168,110.0,,,,,,,,,,2.0,,,2,0,1,-1,2.0,12,12,6-5,3.4,96.0,,,9,,,,,,,,,85,39.0,,,13,Ben Roethlisberger,128.0,7.75,122.0,,62.7,6.3,17,2385,8.9,RoetBe00,QB,,,,2.0,9-3-0,98.6,,,,,,,31,2.6,3,69,2.2,5.8,3,,92.0,0.0,,2005,,PIT,,,,23,72.0,126.0,31,,,240,69,129,134.0,14.2,198.8,,36.0,,2.2,-1,
2006,94.0,4.97,6.1,98.0,,11,,469,1982-03-02,,,280,98.0,55.5,,,,,,,,,2.0,,,5,0,0,-1,3.0,15,15,6-5,4.9,72.0,,,23,,,,,,,,,67,,,,20,Ben Roethlisberger,105.0,6.28,92.0,,59.7,3.8,18,3513,7.5,RoetBe00,QB,,,,,7-8-0,75.4,,,,,,,32,2.1,2,98,3.1,6.5,2,,84.0,0.0,,2006,,PIT,,,,46,,98.0,32,,,240,98,280,113.0,12.5,234.2,,,,3.1,-1,
2007,113.0,6.55,8.2,125.0,,14,,404,1982-03-02,,,264,117.0,75.1,,,,,,,,,1.0,,,9,0,4,-16,2.0,15,15,6-5,2.7,105.0,,,11,,,,,,,,,83,,,,30,Ben Roethlisberger,103.0,6.22,130.0,,65.3,7.9,32,3154,7.8,RoetBe00,QB,,,,,10-5-0,104.1,,,,,,,35,2.3,2,204,5.8,13.6,2,,73.0,0.0,,2007,,PIT,,,,47,,145.0,35,,,240,204,347,119.0,11.9,210.3,,,,5.8,-16,
2008,95.0,5.21,6.3,99.0,,10,,469,1982-03-02,,100.0,281,96.0,45.7,,,,,,,,,4.0,,,14,0,3,-5,4.0,16,16,6-5,3.2,97.0,,,15,,,,,,,,,65,,,-7.0,17,Ben Roethlisberger,95.0,5.86,97.0,,59.9,3.6,17,3301,7.0,RoetBe00,QB,,,,,12-4-0,80.1,0.0,-7.0,-0.4,-7.0,1.0,0.1,34,2.1,2,101,3.0,6.3,2,,79.0,0.0,,2008,,PIT,,,1.0,46,,95.0,35,,,240,94,284,102.0,11.7,206.3,,,,2.7,-5,
2009,117.0,7.12,8.5,125.0,,14,,506,1982-03-02,,,337,119.0,69.0,,,,,,,,,2.0,,,7,0,2,-6,3.0,15,15,6-5,2.4,108.0,,,12,,,,,,,,,60,,,,15,Ben Roethlisberger,118.0,7.16,121.0,,66.6,5.1,26,4328,8.6,RoetBe00,QB,,,,,9-6-0,100.5,,,,,,,40,2.7,2,82,2.1,5.5,2,,77.0,0.0,,2009,,PIT,,,,50,,113.0,40,,,240,82,348,129.0,12.8,288.5,,,,2.1,-6,
2010,118.0,7.35,8.5,122.0,,12,,389,1982-03-02,0.0,,240,103.0,68.2,,,,,,,,,2.0,,,6,0,1,-6,3.0,12,12,6-5,1.3,123.0,,,5,,,,,,,,,56,35.0,,,31,Ben Roethlisberger,114.0,7.08,115.0,,61.7,4.4,17,3200,8.2,RoetBe00,QB,,,,1.0,9-3-0,97.0,,,,,,,34,2.8,2,176,5.2,14.7,2,,89.0,0.0,,2010,,PIT,,,,32,35.0,101.0,34,,,240,176,220,120.0,13.3,266.7,,35.0,,5.2,-6,
2011,109.0,6.51,7.5,111.0,,12,,513,1982-03-02,,,324,109.0,65.0,,,,,,,,,1.0,,,9,0,3,-10,1.0,15,15,6-5,2.7,101.0,,,14,,,,,,,,,95,,,,11,Ben Roethlisberger,112.0,6.89,107.0,,63.2,4.1,21,4077,7.9,RoetBe00,QB,,,,,11-4-0,90.1,,,,,,,31,2.1,0,70,2.3,4.7,0,,92.0,0.0,,2011,,PIT,,,,40,,98.0,31,,,240,70,269,117.0,12.6,271.8,,,,2.3,-10,
2012,111.0,6.77,7.6,111.0,,10,,449,1982-03-02,0.0,,284,109.0,71.3,,,,,,,,,2.0,,,6,0,3,-8,3.0,13,13,6-5,1.8,116.0,,,8,,,,,,,,,82,26.0,,,14,Ben Roethlisberger,103.0,6.44,114.0,,63.3,5.8,26,3265,7.3,RoetBe00,QB,,,,1.0,7-6-0,97.0,,,,,,,26,2.0,0,92,3.5,7.1,0,,101.0,0.0,,2012,,PIT,,,,30,26.0,116.0,26,,,240,92,182,103.0,11.5,251.2,,26.0,,3.5,-8,
2013,104.0,6.24,7.2,105.0,,13,,584,1982-03-02,0.0,0.0,375,110.0,58.1,,,,,,,,,1.0,,,9,0,3,0,3.0,16,16,6-5,2.4,104.0,,,14,,,,,,,,,67,28.0,,5.0,19,Ben Roethlisberger,102.0,6.36,107.0,,64.2,4.8,28,4261,7.3,RoetBe00,QB,,,,1.0,8-8-0,92.0,0.0,5.0,0.3,,0.0,0.0,27,1.7,1,99,3.7,6.2,1,,98.0,0.0,,2013,,PIT,,,0.0,42,28.0,105.0,27,,,240,104,282,104.0,11.4,266.3,,28.0,,3.9,0,
