,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,2,,,1989-11-09,,66.7,,,,,,,,,,,,,,,0,,,,,15,8,6-6,,,,,,,,,,,,,,,,,41,,Kyle Rudolph,,,,,,,,,,RudoKy00,TE,,,,,,,3,249,16.6,9.6,26,1.7,,,,,,,3,,,,,2011,,MIN,,,39,,,,26,,,265,249,,,,,,,,9.6,,
2012,,,,,494.0,5,,,1989-11-09,,57.0,,,,,,,,,,,,,,,0,,,,,16,16,6-6,,,,,,0.0,1.0,1.0,,,,,1.0,,,,29,,Kyle Rudolph,,,,,,,,,,RudoKy00,TE,,,,,,,9,493,30.8,9.3,53,3.3,,,,,,,9,,,,,2012,,MIN,,,93,,,,53,,,265,493,,,,,1.0,,,9.3,,
2013,,,,,,3,,,1989-11-09,,65.2,,,,,,,,,,,,,,,0,,,,,8,8,6-6,,,,,,,,,,,,,,,,,31,,Kyle Rudolph,,,,,,,,,,RudoKy00,TE,,,,,,,3,313,39.1,10.4,30,3.8,,,,,,,3,,,,,2013,,MIN,,,46,,,,30,,,265,313,,,,,,,,10.4,,
2014,,,,,,2,,,1989-11-09,,70.6,,,,,,,,,,,,,,,1,,,,,9,8,6-6,,,,,,,,,,,,,,,,,23,,Kyle Rudolph,,,,,,,,,,RudoKy00,TE,,,,,,,2,231,25.7,9.6,24,2.7,,,,,,,2,,,,,2014,,MIN,,,34,,,,24,,,265,231,,,,,,,,9.6,,
2015,,,,,,5,,,1989-11-09,,67.1,,,,,,,,,,,,,,,0,,,,,16,16,6-6,,,,,,,,,,,,,,,,,47,,Kyle Rudolph,,,,,,,,,,RudoKy00,TE,,,,,,,5,495,30.9,10.1,49,3.1,,,,,,,5,,,,,2015,,MIN,,,73,,,,49,,,265,495,,,,,,,,10.1,,
2016,,,,,,7,,,1989-11-09,,62.9,,,,,,,,,,,,,,,0,,,,,16,16,6-6,,,,,,,,,,,,,,,,,44,,Kyle Rudolph,,,,,,,,,,RudoKy00,TE,,,,,,,7,840,52.5,10.1,83,5.2,,,,,,,7,,,,,2016,,MIN,,,132,,,,83,,,265,840,,,,,,,,10.1,,
2017,,,,,,5,,,1989-11-09,,70.4,,,,,,,,,,,,,,,0,,,,,16,16,6-6,,,,,,,,,,,,,,,,,34,,Kyle Rudolph,,,,,,,,,,RudoKy00,TE,,,,,,,8,532,33.3,9.3,57,3.6,,,,,,,8,,,,,2017,,MIN,,,81,,,,57,,,265,532,,,,,,,,9.3,,
2018,,,,,,5,,,1989-11-09,,78.0,,,,,,,,,,,,,,,0,,,,,16,16,6-6,,,,,,,,,,,,,,,,,44,,Kyle Rudolph,,,,,,,,,,RudoKy00,TE,,,,,,,4,634,39.6,9.9,64,4.0,,,,,,,4,,,,,2018,,MIN,,,82,,,,64,,,265,634,,,,,,,,9.9,,
2019,,,,,,4,,,1989-11-09,,81.3,,,,,,,,,,,,,,,0,,,,,16,16,6-6,,,,,,,,,,,,,,,,,32,,Kyle Rudolph,,,,,,,,,,RudoKy00,TE,,,,,,,6,367,22.9,9.4,39,2.4,,,,,,,6,,,,,2019,,MIN,,,48,,,,39,,,265,367,,,,,,,,9.4,,
Career,,,,,4155.0,38,,,1989-11-09,,67.7,,,,,,,,,,,,,,,1,,,,,128,120,6-6,,,,,,0.0,1.0,1.0,,,,,1.0,,,,47,,Kyle Rudolph,,,,,,,,,,RudoKy00,,,,,,,,47,4154,32.5,9.8,425,3.3,,,,,,,47,,,,,Career,,,,,628,,,,425,,,265,4154,,,,,1.0,,,9.8,,
