,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2008,116.0,7.01,7.5,114.0,,14,,434,1985-05-17,,,265,100.0,68.5,,,,,,,,,2,,,6,0,2,-13,4,16,16,6-4,2.5,107.0,,,11,,,,,,,,,70,,,,17,Matt Ryan,121.0,7.4,106.0,,61.1,3.7,16,3440,7.9,RyanMa00,QB,,,,,11-5-0,87.7,,,,,,,55,3.4,1,104,1.9,6.5,1,,116.0,0.0,,2008,,ATL,,,,17,,96.0,55,,,217,104,104,119.0,13.0,215.0,,,,1.9,-13,
2009,99.0,5.6,6.0,95.0,,10,,451,1985-05-17,,,263,91.0,64.9,,,,,,,,,1,,,5,0,2,0,3,14,14,6-4,3.1,98.0,,,14,,,,,,,,,90,,,,7,Matt Ryan,97.0,6.01,97.0,,58.3,4.9,22,2916,6.5,RyanMa00,QB,,,,,9-5-0,80.9,,,,,,,30,2.1,1,49,1.6,3.5,1,,115.0,0.0,,2009,,ATL,,,,19,,109.0,30,,,217,49,92,90.0,11.1,208.3,,,,1.6,0,
2010,105.0,6.23,6.8,102.0,,16,,571,1985-05-17,,,357,106.0,69.8,,,,,,,,,5,,,4,0,0,0,6,16,16,6-4,1.6,119.0,,,9,,,,,,,,,46,,,,20,Matt Ryan,96.0,5.97,108.0,,62.5,4.9,28,3705,6.5,RyanMa00,QB,,,,,13-3-0,91.0,,,,,,,46,2.9,0,122,2.7,7.6,0,,118.0,0.0,,2010,,ATL,,,,23,,107.0,46,,,217,122,158,90.0,10.4,231.6,,,,2.7,0,
2011,113.0,6.83,7.5,110.0,,15,,566,1985-05-17,,,347,102.0,69.1,,,,,,,,,3,,,5,0,2,0,3,16,16,6-4,2.1,111.0,,,12,,,,,,,,,80,,,,12,Matt Ryan,110.0,6.76,110.0,,61.3,5.1,29,4177,7.4,RyanMa00,QB,,,,,10-6-0,92.2,,,,,,,37,2.3,2,84,2.3,5.3,2,,115.0,0.0,,2011,,ATL,,,,26,,109.0,37,,,217,84,173,106.0,12.0,261.1,,,,2.3,0,
2012,114.0,7.03,7.7,112.0,,18,,615,1985-05-17,,,422,128.0,71.6,,,,,,,,,4,,,3,0,0,-2,6,16,16,6-4,2.3,108.0,,,14,,,,,,,,,80,,,,16,Matt Ryan,114.0,7.01,117.0,,68.6,5.2,32,4719,7.7,RyanMa00,QB,,,,,13-3-0,99.1,,,,,,,34,2.1,1,141,4.1,8.8,1,,117.0,0.0,,2012,,ATL,,,,28,,110.0,34,,,217,141,210,111.0,11.2,294.9,,,,4.1,-2,
2013,96.0,5.72,6.6,96.0,,13,,651,1985-05-17,,,439,122.0,65.0,,,,,,,,,1,,,5,0,1,-2,1,16,16,6-4,2.6,100.0,,,17,,,,,,,,,81,,,,17,Matt Ryan,96.0,6.07,104.0,,67.4,4.0,26,4515,6.9,RyanMa00,QB,,,,,4-12-0,89.6,,,,,,,17,1.1,0,55,3.2,3.4,0,,101.0,0.0,,2013,,ATL,,,,44,,95.0,17,,,217,55,298,95.0,10.3,282.2,,,,3.2,-2,
2014,108.0,6.71,7.4,106.0,,15,,628,1985-05-17,,,415,115.0,68.4,,,,,,,,,3,,,5,0,0,-3,3,16,16,6-4,2.2,105.0,,,14,,,,,,,,,79,,,,15,Matt Ryan,110.0,6.81,107.0,,66.1,4.5,28,4694,7.5,RyanMa00,QB,,,,,6-10-0,93.9,,,,,,,29,1.8,0,145,5.0,9.1,0,,113.0,0.0,,2014,,ATL,,,,31,,100.0,29,,,217,145,205,107.0,11.3,293.4,,,,5.0,-3,
2015,102.0,6.35,7.0,99.0,,13,,614,1985-05-17,,,407,113.0,69.6,,,,,,,,,4,,,12,0,4,-24,4,16,16,6-4,2.6,96.0,,,16,,,,,,,,,70,,,,18,Matt Ryan,110.0,6.81,99.0,,66.3,3.4,21,4591,7.5,RyanMa00,QB,,,,,8-8-0,89.0,,,,,,,36,2.3,0,63,1.8,3.9,0,,111.0,0.0,,2015,,ATL,,,,30,,87.0,36,,,217,63,203,107.0,11.3,286.9,,,,1.8,-24,
2016,141.0,9.03,10.1,145.0,,21,,534,1985-05-17,,,373,128.0,79.4,,,,,,,,,1,,,4,0,2,-3,2,16,16,6-4,1.3,119.0,,,7,,,,,,,,,76,,,,18,Matt Ryan,142.0,8.25,140.0,,69.9,7.1,38,4944,9.3,RyanMa00,QB,,,,,11-5-0,117.1,,,,,,,35,2.2,0,117,3.3,7.3,0,,97.0,0.0,,2016,,ATL,,,,37,,133.0,35,,,217,117,235,148.0,13.3,309.0,,,,3.3,-3,
2017,110.0,6.87,7.5,106.0,,15,,529,1985-05-17,,,342,105.0,68.3,,,,,,,,,2,,,4,0,1,-4,3,16,16,6-4,2.3,101.0,,,12,,,,,,,,,88,,,,16,Matt Ryan,116.0,7.12,102.0,,64.7,3.8,20,4095,7.7,RyanMa00,QB,,,,,10-6-0,91.4,,,,,,,32,2.0,0,143,4.5,8.9,0,,115.0,0.0,,2017,,ATL,,,,24,,93.0,32,,,217,143,156,112.0,12.0,255.9,,,,4.5,-4,
