,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2012,,93.0,93.0,,,2,1.0,1.0,1989-08-22,,64.0,1.0,,100.0,,,,,,,,,,,,0,,,,,9,3,6-2,0.0,,,,0.0,,,,,,,,,73.0,,,34,7,Mohamed Sanu,,73.0,,,100.0,100.0,1.0,73.0,73.0,SanuMo00,wr,,,,,,158.3,4,154,17.1,9.6,16,1.8,5,0.6,0,15,3.0,1.7,4,,,0.0,,2012,1.0,CIN,,,25,0.0,,,21,,,215,169,0.0,,73.0,8.1,,,,8.0,,
2013,,25.0,25.0,,,4,,1.0,1989-08-22,,61.0,1.0,,92.5,,,,,,,,,,,,1,0.0,0.0,0.0,,16,14,6-2,0.0,,,,0.0,,,,,,,,,25.0,,,32,9,Mohamed Sanu,,25.0,,,100.0,0.0,0.0,25.0,25.0,SanuMo00,WR,,,,,,118.7,2,455,28.4,9.7,47,2.9,4,0.3,0,16,4.0,1.0,2,,,0.0,,2013,,CIN,,,77,0.0,,,51,,,215,471,0.0,,25.0,1.6,,,,9.2,0.0,
2014,,23.25,33.0,,,8,,3.0,1989-08-22,,57.1,3.0,,89.4,,,,,,,,,,,,0,0.0,1.0,0.0,,16,13,6-2,0.0,,,,0.0,,,,,,,,,50.0,,,76,26,Mohamed Sanu,,18.25,,,100.0,33.3,1.0,79.0,26.3,SanuMo00,WR,,,,,,158.3,5,790,49.4,14.1,56,3.5,7,0.4,0,51,7.3,3.2,5,,,0.0,,2014,,CIN,,,98,1.0,,,63,,,215,841,6.0,,26.3,4.9,,,,13.3,0.0,
2017,,71.0,71.0,,,7,,1.0,1989-08-22,,69.8,1.0,,96.8,,,,,,,,,,,,0,,,,,15,15,6-2,0.0,,,,0.0,,,,,,,,,51.0,,,25,4,Mohamed Sanu,,51.0,,,100.0,100.0,1.0,51.0,51.0,SanuMo00,WR,,,,,,158.3,5,703,46.9,10.5,67,4.5,4,0.3,0,10,2.5,0.7,5,,,,,2017,,ATL,,,96,0.0,,,71,,,215,713,0.0,,51.0,3.4,,,,10.0,,
2018,,12.5,12.5,,,7,,2.0,1989-08-22,,70.2,1.0,,32.3,,,,,,,,,,,,2,0.0,1.0,0.0,,16,16,6-2,0.0,,,,0.0,,,,,,,,,5.0,,,44,24,Mohamed Sanu,,2.5,,,50.0,50.0,1.0,5.0,2.5,SanuMo00,WR,,,,,,95.8,4,838,52.4,12.7,66,4.1,7,0.4,0,44,6.3,2.8,4,,,0.0,,2018,,ATL,,,94,0.0,,,73,,,215,882,0.0,,5.0,0.3,,,,12.1,0.0,
Career,,34.11,39.1,,4788.0,45,1.0,8.0,1989-08-22,,66.2,7.0,,,,,,,,,,,0.0,,,6,0.0,3.0,0.0,0.0,118,92,6-2,0.0,,,,0.0,0.0,2.0,1.0,,,,,2.0,73.0,,14.0,76,26,Mohamed Sanu,,25.22,,,87.5,50.0,4.0,233.0,29.1,SanuMo00,,0.0,56.0,10.0,,,158.3,26,4507,38.2,11.2,403,3.4,41,0.3,2,223,5.4,1.9,28,,,0.0,,Career,1.0,,,,609,1.0,,,444,,,215,4730,6.0,,33.3,2.0,2.0,,5.6,10.7,0.0,
2015,,,,,467.0,5,,,1989-08-22,,67.3,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,4,6-2,,,,,,0.0,2.0,1.0,,,,,2.0,,,,52,25,Mohamed Sanu,,,,,,,,,,SanuMo00,wr,,,,,,,0,394,24.6,11.9,33,2.1,10,0.6,2,71,7.1,4.4,2,,,0.0,,2015,,CIN,,,49,,,,43,,,215,465,,,,,2.0,,,10.8,0.0,
2016,,,,,,7,,,1989-08-22,,72.8,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,15,15,6-2,,,,,,,,,,,,,,,,,59,5,Mohamed Sanu,,,,,,,,,,SanuMo00,WR,,,,,,,4,653,43.5,11.1,59,3.9,1,0.1,0,5,5.0,0.3,4,,,0.0,,2016,,ATL,,,81,,,,60,,,215,658,,,,,,,,11.0,0.0,
2019,,,,,587.0,5,,,1989-08-22,,66.3,,,,,,,,,,,,,,,0,0.0,1.0,0.0,,15,12,6-2,,,,,,,,,,,,,,,,14.0,28,8,Mohamed Sanu,,,,,,,,,,SanuMo00,,0.0,56.0,10.0,,,,2,520,34.7,8.8,59,3.9,3,0.2,0,11,3.7,0.7,2,,,0.0,,2019,,2TM,,,89,,,,62,,,215,531,,,,,,,5.6,8.6,0.0,
,,,,,318.0,3,,,1989-08-22,,,,,,,,,,,,,,,,,0,0.0,1.0,0.0,,7,6,6-2,,,,,,,,,,,,,,,,2.0,28,2,Mohamed Sanu,,,,,,,,,,SanuMo00,wr,0.0,2.0,1.0,,,,1,313,44.7,9.5,33,4.7,2,0.3,0,3,1.5,0.4,1,,,0.0,,,,ATL,,,42,,,,35,,,215,316,,,,,,,2.0,9.0,0.0,
