,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,0,0.0,,1987-11-21,,100.0,,,,,,,,,,,,,,,0,,,,,10,3,6-6,,,,,,,,,,,,,,,,,6,,Lee Smith,,,,,,,,,,SmitLe00,te,,,,,,,0,11,1.1,2.8,4,0.4,,,,,,,0,,,0.0,,2011,2.0,BUF,,,4,,,,4,,,265,11,,,,,,,,2.8,,
2012,,,,,13.0,0,,,1987-11-21,,100.0,,,,,,,,,,,,,,,0,,,,,16,7,6-6,,,,,,0.0,0.0,1.0,,,,,0.0,,,,5,,Lee Smith,,,,,,,,,,SmitLe00,te/wr,,,,,,,2,13,0.8,3.3,4,0.3,,,,,,,2,,,,,2012,,BUF,,,4,,,,4,,,265,13,,,,,0.0,,,3.3,,
2013,,,,,,1,,,1987-11-21,,55.6,,,,,,,,,,,,,,,0,,,,,16,14,6-6,,,,,,,,,,,,,,,,,28,,Lee Smith,,,,,,,,,,SmitLe00,fb/TE,,,,,,,0,78,4.9,15.6,5,0.3,,,,,,,0,,,,,2013,,BUF,,,9,,,,5,,,265,78,,,,,,,,15.6,,
2014,,,,,,0,,,1987-11-21,,87.5,,,,,,,,,,,,,,,0,,,,,14,10,6-6,,,,,,,,,,,,,,,,,18,,Lee Smith,,,,,,,,,,SmitLe00,TE,,,,,,,1,42,3.0,6.0,7,0.5,,,,,,,1,,,,,2014,,BUF,,,8,,,,7,,,265,42,,,,,,,,6.0,,
2015,,,,,78.0,1,,,1987-11-21,,92.3,,,,,,,,,,,,,,,0,,,,,15,15,6-6,,,,,,0.0,8.0,1.0,,,,,8.0,,,,17,,Lee Smith,,,,,,,,,,SmitLe00,TE,,,,,,,1,70,4.7,5.8,12,0.8,,,,,,,1,,,,,2015,,OAK,,,13,,,,12,,,265,70,,,,,8.0,,,5.8,,
2016,,,,,,0,,,1987-11-21,,100.0,,,,,,,,,,,,,,,0,,,,,4,4,6-6,,,,,,,,,,,,,,,,,12,,Lee Smith,,,,,,,,,,SmitLe00,te,,,,,,,0,29,7.3,4.8,6,1.5,,,,,,,0,,,,,2016,,OAK,,,6,,,,6,,,265,29,,,,,,,,4.8,,
2017,,,,,,1,,,1987-11-21,,72.7,,,,,,,,,,,,,,,0,,,,,16,9,6-6,,,,,,,,,,,,,,,,,21,,Lee Smith,,,,,,,,,,SmitLe00,TE/wr,,,,,,,0,76,4.8,9.5,8,0.5,,,,,,,0,,,,,2017,,OAK,,,11,,,,8,,,265,76,,,,,,,,9.5,,
2018,,,,,,1,0.0,,1987-11-21,,90.9,,,,,,,,,,,,,,,0,,,,,16,4,6-6,,,,,,,,,,,,,,,,,30,,Lee Smith,,,,,,,,,,SmitLe00,te,,,,,,,3,73,4.6,7.3,10,0.6,,,,,,,3,,,0.0,,2018,1.0,OAK,,,11,,,,10,,,265,73,,,,,,,,7.3,,
2019,,,,,,0,,,1987-11-21,,80.0,,,,,,,,,,,,,,,0,,,,,16,5,6-6,,,,,,,,,,,,,,,,,9,,Lee Smith,,,,,,,,,,SmitLe00,te,,,,,,,1,31,1.9,7.8,4,0.3,,,,,,,1,,,,,2019,,BUF,,,5,,,,4,,,265,31,,,,,,,,7.8,,
Career,,,,,431.0,4,0.0,,1987-11-21,,84.5,,,,,,,,,,,,,,,0,,,,,123,71,6-6,,,,,,0.0,8.0,2.0,,,,,8.0,,,,30,,Lee Smith,,,,,,,,,,SmitLe00,,,,,,,,8,423,3.4,7.1,60,0.5,,,,,,,8,,,0.0,,Career,3.0,,,,71,,,,60,,,265,423,,,,,4.0,,,7.1,,
