,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2009,75.0,3.64,4.3,74.0,,3,,377,1988-02-07,,,201,74.0,37.0,,,,,,,,,1,,,4,0,2,0,1,10,10,6-3,5.3,66.0,,,20,,,,,,,,,75,,,,21,Matthew Stafford,83.0,5.23,72.0,,53.3,3.4,13,2267,6.0,StafMa00,QB,,,,,2-8-0,61.0,,,,,,,20,2.0,2,108,5.4,10.8,2,,100.0,0.0,,2009,,DET,,,,24,,92.0,20,,,220,108,169,82.0,11.3,226.7,,,,5.4,0,
2010,100.0,5.74,6.4,97.0,,2,,96,1988-02-07,,,57,96.0,50.5,,,,,,,,,1,,,2,0,0,-5,1,3,3,6-3,1.0,126.0,,,1,,,,,,,,,36,,,,9,Matthew Stafford,79.0,4.99,108.0,,59.4,6.3,6,535,5.6,StafMa00,qb,,,,,1-2-0,91.3,,,,,,,4,1.3,1,11,2.8,3.7,1,,117.0,0.0,,2010,,DET,,,,4,,123.0,4,,,220,11,36,74.0,9.4,178.3,,,,2.8,-5,
2011,115.0,6.98,7.7,114.0,,16,,663,1988-02-07,,,421,110.0,61.6,,,,,,,,,3,,,5,0,1,-4,4,16,16,6-3,2.4,107.0,,,16,,,,,,,,,73,,,,22,Matthew Stafford,112.0,6.84,116.0,,63.5,6.2,41,5038,7.6,StafMa00,QB,,,,,10-6-0,97.2,,,,,,,22,1.4,0,78,3.5,4.9,0,,109.0,0.0,,2011,,DET,,,,36,,121.0,22,,,220,78,257,110.0,12.0,314.9,,,,3.5,-4,
2012,99.0,5.81,6.3,95.0,,13,,727,1988-02-07,,100.0,435,97.0,56.1,,,,,,,,,3,,,6,0,2,-7,3,16,16,6-3,2.3,107.0,,,17,,,,,,,,,57,,,3.0,11,Matthew Stafford,101.0,6.29,93.0,,59.8,2.8,20,4967,6.8,StafMa00,QB,,,,,4-12-0,79.8,0.0,3.0,0.2,3.0,1.0,0.1,35,2.2,4,126,3.6,7.9,4,,121.0,0.0,,2012,,DET,,,1.0,29,,83.0,36,,,220,129,212,94.0,11.4,310.4,,,,3.6,-7,
2013,106.0,6.4,6.9,101.0,,13,1.0,634,1988-02-07,,,371,88.0,56.2,,,,,,,,,2,,,12,0,4,-32,3,16,16,6-3,3.0,94.0,,,19,,,,,,,,,87,,,,14,Matthew Stafford,112.0,6.82,97.0,,58.5,4.6,29,4650,7.3,StafMa00,QB,,,,,7-9-0,84.2,,,,,,,37,2.3,2,69,1.9,4.3,2,,123.0,0.0,,2013,0.0,DET,,,,23,,102.0,37,,,220,69,168,105.0,12.5,290.6,,,,1.9,-32,
2014,99.0,6.03,6.9,99.0,,12,,602,1988-02-07,,,363,92.0,47.3,,,,,,,,,5,,,10,0,3,-5,5,16,16,6-3,2.0,110.0,,,12,,,,,,,,,73,,,,18,Matthew Stafford,97.0,6.19,96.0,,60.3,3.7,22,4257,7.1,StafMa00,QB,,,,,11-5-0,85.7,,,,,,,43,2.7,2,93,2.2,5.8,2,,95.0,0.0,,2014,,DET,,,,45,,90.0,43,,,220,93,254,97.0,11.7,266.1,,,,2.2,-5,
2015,103.0,6.39,7.3,104.0,,13,,592,1988-02-07,,100.0,398,117.0,58.5,,,,,,,,,2,,,4,0,2,-5,3,16,16,6-3,2.2,103.0,,,13,,,,,,,,,57,,,-6.0,18,Matthew Stafford,98.0,6.31,111.0,,67.2,5.4,32,4262,7.2,StafMa00,QB,,,,,7-9-0,97.0,0.0,-6.0,-0.4,-6.0,1.0,0.1,44,2.8,1,159,3.6,9.9,1,,93.0,0.0,,2015,,DET,,,1.0,44,,112.0,45,,,220,153,251,100.0,10.7,266.4,,,,3.4,-5,
2016,106.0,6.56,7.3,105.0,,14,,594,1988-02-07,,0.0,388,110.0,66.5,,,,,,,,,8,,,3,0,1,0,8,16,16,6-3,1.7,112.0,,,10,,,,,,,,,73,,,0.0,24,Matthew Stafford,104.0,6.52,106.0,,65.3,4.0,24,4327,7.3,StafMa00,QB,,,,,9-7-0,93.3,0.0,0.0,0.0,,0.0,0.0,37,2.3,2,207,5.6,12.9,2,,102.0,0.0,,2016,,DET,,,1.0,37,,96.0,37,,,220,207,216,103.0,11.2,270.4,,,,5.6,0,
2017,111.0,7.01,8.1,115.0,,14,,565,1988-02-07,,,371,108.0,65.3,,,,,,,,,1,,,11,0,2,-13,4,16,16,6-3,1.8,110.0,,,10,,,,,,,,,71,,,,15,Matthew Stafford,109.0,6.8,113.0,,65.7,5.1,29,4446,7.9,StafMa00,QB,,,,,9-7-0,99.3,,,,,,,29,1.8,0,98,3.4,6.1,0,,90.0,0.0,,2017,,DET,,,,47,,108.0,29,,,220,98,287,114.0,12.0,277.9,,,,3.4,-13,
2018,96.0,5.79,6.7,95.0,,10,,555,1988-02-07,,,367,110.0,48.4,,,,,,,,,0,,,6,0,1,0,1,16,16,6-3,2.0,106.0,,,11,,,,,,,,,67,,,,10,Matthew Stafford,93.0,5.92,100.0,,66.1,3.8,21,3777,6.8,StafMa00,QB,,,,,6-10-0,89.9,,,,,,,25,1.6,0,71,2.8,4.4,0,,99.0,0.0,,2018,,DET,,,,40,,92.0,25,,,220,71,255,92.0,10.3,236.1,,,,2.8,0,
2019,126.0,8.15,9.1,127.0,,8,,291,1988-02-07,,,187,100.0,,,,,,,,,,2,,,5,0,1,-10,1,8,8,6-3,1.7,110.0,,,5,,,,,,,,,66,,,,12,Matthew Stafford,124.0,7.64,120.0,,64.3,6.5,19,2499,8.6,StafMa00,QB,,,,,3-4-1,106.0,,,,,,,20,2.5,0,66,3.3,8.3,0,,107.0,0.0,,2019,,DET,,,,18,,121.0,20,,,220,66,137,125.0,13.4,312.4,,,,3.3,-10,
Career,,6.27,7.0,,,118,1.0,5696,1988-02-07,,66.7,3559,,,,,,,,,,,28,,,68,0,19,-81,34,149,149,6-3,2.4,,,,134,,,,,,,,,87,,,3.0,24,Matthew Stafford,,6.42,,,62.5,4.5,256,41025,7.2,StafMa00,,,,,,69-79-1,89.3,0.0,-3.0,0.0,-1.5,2.0,0.0,316,2.1,14,1086,3.4,7.3,14,,,0.0,,Career,0.0,,,,3.0,347,,,318,,,220,1083,2242,,11.5,275.3,,,,3.4,-81,
