,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2008,,,,,32.0,3,6,,1986-02-13,,,,,,,,,,,,,,,,,,,,,,15,2,6-1,,,4,0,,,,,,,,19,,,,0.0,,,Aqib Talib,,,,9,,,,,,TaliAq99,cb/db,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,,2008,17,TAM,,,,,,,,,,209,,,,,,,,0.0,,,32
2009,,,,,,6,8,,1986-02-13,,,,,,,,,,,,,,,,,0.0,0.0,1.0,-5.0,,15,15,6-1,,,5,0,,,,,,,,32,,,,,,,Aqib Talib,,,,15,,,,,,TaliAq99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2009,56,TAM,,,,,,,,,,209,,,,,,,,,,-5.0,99
2010,,,,,,6,1,,1986-02-13,,,,,,,,,,,,,,,,,,,,,,11,11,6-1,,,6,1,,,,,,,,45,,,,,,,Aqib Talib,,,,11,,,,,,TaliAq99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2010,39,TAM,,,,,,,,,,209,,,,,,,,,,,91
2011,,,,,,4,3,,1986-02-13,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,13,13,6-1,,,2,2,,,,,,,,28,,,,,,,Aqib Talib,,,,11,,,,,,TaliAq99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,31,TAM,,,,,,,,,,209,,,,,,,,,,0.0,55
2012,,,,,,4,7,,1986-02-13,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,10,9,6-1,,,2,1,,,,,,,,59,,,,,,,Aqib Talib,,,,10,,,,,,TaliAq99,,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,33,2TM,,,,,,,,,,209,,,,,,,,,,0.0,59
,,,,,,2,6,,1986-02-13,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,6,5,6-1,,,1,1,,,,,,,,59,,,,,,,Aqib Talib,,,,2,,,,,,TaliAq99,lcb,,,,,,,,,,,,,,,,,,,,,,0.0,,,13,NWE,,,,,,,,,,209,,,,,,,,,,0.0,59
2013,,,,,,11,6,,1986-02-13,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,13,13,6-1,,,4,0,,,,,,,,14,,,,,,,Aqib Talib,,,,14,,,,,,TaliAq99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,35,NWE,,,,,,,,,,209,,,,,,,,,,0.0,12
2014,,,,,,9,9,,1986-02-13,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,15,15,6-1,,,4,2,,,,,,,,33,,,,,,,Aqib Talib,,,,16,,,,,,TaliAq99,cb/LCB,,,,,,,,,,,,,,,,,,,,,,1.0,,2014,55,DEN,,,,,,,,,,209,,,,,,,,,,0.0,62
2015,,,,,,10,6,,1986-02-13,,,,,,,,,,,,,,,,,,,,,,15,15,6-1,,,3,2,,,,,,,,63,,,,,,,Aqib Talib,,,,13,,,,,,TaliAq99,cb/LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,39,DEN,,,,,,,,,,209,,,,,,,,,,,123
2016,,,,,87.0,14,11,,1986-02-13,,,,,,,,,,,,,,,,,,,,,,13,13,6-1,,,3,1,,,,,,,,46,,,,1.0,,,Aqib Talib,,,,12,,,,,,TaliAq99,LCB,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,,2016,32,DEN,,,,,,,,,,209,,,,,,,,1.0,,,86
