,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2004,,,,,,0,,,1980-12-18,,50.0,,,,,,,,,,,,,,,0,,,,,1,1,6-3,,,,,,,,,,,,,,,,,14,,Ben Watson,,,,,,,,,,WatsBe00,te,,,,,,,0,16,16.0,8.0,2,2.0,,,,,,,0,,,,,2004,,NWE,,,4,,,,2,,,255,16,,,,,,,,8.0,,
2005,,,,,442.0,4,,,1980-12-18,,53.7,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,15,9,6-3,,,,,,0.0,1.0,1.0,,,,,1.0,,,,35,,Ben Watson,,,,,,,,,,WatsBe00,TE,,,,,,,4,441,29.4,15.2,29,1.9,,,,,,,4,,,0.0,,2005,,NWE,,,54,,,,29,,,255,441,,,,,1.0,,,15.2,0.0,
2006,,,,,,7,,,1980-12-18,,53.8,,,,,,,,,,,,,,,3,0.0,1.0,0.0,,13,13,6-3,,,,,,,,,,,,,,,,,40,,Ben Watson,,,,,,,,,,WatsBe00,TE,,,,,,,3,643,49.5,13.1,49,3.8,,,,,,,3,,,0.0,,2006,,NWE,,,91,,,,49,,,255,643,,,,,,,,13.1,0.0,
2007,,,,,,5,,,1980-12-18,,73.5,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,12,8,6-3,,,,,,,,,,,,,,,,,35,11.0,Ben Watson,,,,,,,,,,WatsBe00,TE,,,,,,,6,389,32.4,10.8,36,3.0,1.0,0.1,0.0,11.0,11.0,0.9,6,,,0.0,,2007,,NWE,,,49,,,,37,,,255,400,,,,,,,,10.8,0.0,
2008,,,,,,2,,,1980-12-18,,46.8,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,14,9,6-3,,,,,,,,,,,,,,,,,29,,Ben Watson,,,,,,,,,,WatsBe00,TE,,,,,,,2,209,14.9,9.5,22,1.6,,,,,,,2,,,0.0,,2008,,NWE,,,47,,,,22,,,255,209,,,,,,,,9.5,0.0,
2009,,,,,,4,,,1980-12-18,,70.7,,,,,,,,,,,,,,,0,0.0,1.0,0.0,,16,7,6-3,,,,,,,,,,,,,,,,,36,,Ben Watson,,,,,,,,,,WatsBe00,te,,,,,,,5,404,25.3,13.9,29,1.8,,,,,,,5,,,0.0,,2009,,NWE,,,41,,,,29,,,255,404,,,,,,,,13.9,0.0,
2010,,,,,,6,,,1980-12-18,,66.7,,,,,,,,,,,,,,,0,,,,,16,16,6-3,,,,,,,,,,,,,,,,,44,-1.0,Ben Watson,,,,,,,,,,WatsBe00,TE,,,,,,,3,763,47.7,11.2,68,4.3,1.0,0.1,0.0,-1.0,-1.0,-0.1,3,,,,,2010,,CLE,,,102,,,,69,,,255,762,,,,,,,,11.0,,
2011,,,,,,3,,,1980-12-18,,52.9,,,,,,,,,,,,,,,0,,,,,13,11,6-3,,,,,,,,,,,,,,,,,34,,Ben Watson,,,,,,,,,,WatsBe00,TE,,,,,,,2,410,31.5,11.1,37,2.8,,,,,,,2,,,,,2011,,CLE,,,70,,,,37,,,255,410,,,,,,,,11.1,,
2012,,,,,,4,,,1980-12-18,,59.8,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,14,6-3,,,,,,,,,,,,,,,,,27,,Ben Watson,,,,,,,,,,WatsBe00,TE,,,,,,,3,501,31.3,10.2,49,3.1,,,,,,,3,,,0.0,,2012,,CLE,,,82,,,,49,,,255,501,,,,,,,,10.2,0.0,
2013,,,,,,2,,,1980-12-18,,63.3,,,,,,,,,,,,,,,0,,,,,15,7,6-3,,,,,,,,,,,,,,,,,32,,Ben Watson,,,,,,,,,,WatsBe00,te/wr,,,,,,,2,226,15.1,11.9,19,1.3,,,,,,,2,,,,,2013,,NOR,,,30,,,,19,,,255,226,,,,,,,,11.9,,
