,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,2,5.0,,1988-03-03,,,,,,,,,,,,,,,,,,,,,,15,1,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Dekoda Watson,,,,1.0,,,,,,WatsDe99,lb,,,,,,,,,,,,,,,,,,,,,,0.0,,2010,26.0,TAM,,,,,,,,,,245,,,,,,,,,,,0.0
2011,,,,,,2,2.0,,1988-03-03,,,,,,,,,,,,,,,,,0.0,1.0,1.0,7.0,,14,2,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Dekoda Watson,,,,2.0,,,,,,WatsDe99,lb,,,,,,,,,,,,,,,,,,,,,,1.0,,2011,21.0,TAM,,,,,,,,,,245,,,,,,,,,,7.0,0.0
2012,,,,,,2,2.0,,1988-03-03,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,16,0,6-2,,,,,,,,,,,,,,,,,,,Dekoda Watson,,,,,,,,,,WatsDe99,,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,8.0,TAM,,,,,,,,,,245,,,,,,,,,,0.0,
2013,,,,,,3,9.0,,1988-03-03,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,15,3,6-2,,,1.0,0.0,,,,,,,,0.0,,,,,,,Dekoda Watson,,,,1.0,,,,,,WatsDe99,lb,,,,,,,,,,,,,,,,,,,,,,2.0,,2013,33.0,TAM,,,,,,,,,,245,,,,,,,,,,0.0,0.0
2014,,,,,,1,5.0,,1988-03-03,,,,,,,,,,,,,,,,,,,,,,10,1,6-2,,,,,,,,,,,,,,,,,,,Dekoda Watson,,,,,,,,,,WatsDe99,,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,9.0,2TM,,,,,,,,,,245,,,,,,,,,,,
,,,,,,0,,,1988-03-03,,,,,,,,,,,,,,,,,,,,,,1,0,6-2,,,,,,,,,,,,,,,,,,,Dekoda Watson,,,,,,,,,,WatsDe99,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,DAL,,,,,,,,,,245,,,,,,,,,,,
2015,,,,,,0,0.0,,1988-03-03,,,,,,,,,,,,,,,,,,,,,,3,0,6-2,,,,,,,,,,,,,,,,,,,Dekoda Watson,,,,,,,,,,WatsDe99,,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,2.0,NWE,,,,,,,,,,245,,,,,,,,,,,
2016,,,,,,1,4.0,,1988-03-03,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,0,6-2,,,,,,,,,,,,,,,,,,,Dekoda Watson,,,,,,,,,,WatsDe99,,,,,,,,,,,,,,,,,,,,,,,1.0,,2016,13.0,DEN,,,,,,,,,,245,,,,,,,,,,0.0,
2017,,,,,,1,2.0,,1988-03-03,,,,,,,,,,,,,,,,,,,,,,14,0,6-2,,,,,,,,,,,,,,,,,,,Dekoda Watson,,,,,,,,,,WatsDe99,,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,6.0,SFO,,,,,,,,,,245,,,,,,,,,,,
2018,,,,,,0,2.0,,1988-03-03,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,4,0,6-2,,,,,,,,,,,,,,,,,,,Dekoda Watson,,,,,,,,,,WatsDe99,,,,,,,,,,,,,,,,,,,,,,,2.0,,2018,4.0,SFO,,,,,,,,,,245,,,,,,,,,,0.0,
2019,,,,,,0,,,1988-03-03,,,,,,,,,,,,,,,,,,,,,,1,0,6-2,,,,,,,,,,,,,,,,,,,Dekoda Watson,,,,,,,,,,WatsDe99,,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,,SEA,,,,,,,,,,245,,,,,,,,,,,
Career,,,,,,12,31.0,,1988-03-03,,,,,,,,,,,,,,,,,0.0,4.0,4.0,7.0,,108,7,6-2,,,1.0,0.0,,,,,,,,0.0,,,,,,,Dekoda Watson,,,,4.0,,,,,,WatsDe99,,,,,,,,,,,,,,,,,,,,,,,6.0,,Career,122.0,,,,,,,,,,,245,,,,,,,,,,7.0,0.0
