,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2014,,0.0,0.0,,,11,23,1.0,1985-01-04,,,0.0,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,16,16,5-11,0.0,,1,0,0.0,,,,,,,17,,0.0,,,,,Eric Weddle,,0.0,,8,0.0,0.0,0.0,0.0,0.0,WeddEr99,FS,,,,,,39.6,,,,,,,,,,,,,,,,0.0,,2014,91,SDG,,,,0.0,,,,,,195,,0.0,,,0.0,,,,,0.0,17
Career,,0.0,0.0,,671.0,108,276,1.0,1985-01-04,,,0.0,,,,,,,,,,,,,,3.0,8.0,7.0,113.0,,201,186,5-11,0.0,,29,4,0.0,,,,,,,53,,0.0,,20.0,,10.0,Eric Weddle,,0.0,,98,0.0,0.0,0.0,0.0,0.0,WeddEr99,,0.0,67.0,9.0,,,39.6,,,,,,,5.0,0.0,0.0,24.0,4.8,0.1,0.0,,,9.5,,Career,903,,,,,0.0,,,5.0,,,195,24.0,0.0,,,0.0,,,7.4,4.8,113.0,467
2011,,,,,,12,18,,1985-01-04,,,,,,,,,,,,,,,,,0.0,,,,,16,16,5-11,,,7,0,,,,,,,,26,,,,,,10.0,Eric Weddle,,,,11,,,,,,WeddEr99,FS,,,,,,,,,,,,,1.0,0.1,0.0,10.0,10.0,0.6,0.0,,,0.0,,2011,70,SDG,,,,,,,1.0,,,195,10.0,,,,,,,,10.0,,89
2012,,,,,110.0,11,14,,1985-01-04,,,,,,,,,,,,,,,,,3.0,2.0,2.0,0.0,,16,16,5-11,,,3,1,,,,,,,,23,,,,20.0,,6.0,Eric Weddle,,,,8,,,,,,WeddEr99,FS,0.0,48.0,7.0,,,,,,,,,,2.0,0.1,0.0,10.0,5.0,0.6,0.0,,,1.0,,2012,83,SDG,,,,,,,2.0,,,195,10.0,,,,,,,6.9,5.0,0.0,52
2013,,,,,,10,27,,1985-01-04,,,,,,,,,,,,,,,,,0.0,1.0,2.0,27.0,,16,16,5-11,,,2,0,,,,,,,,21,,,,,,2.0,Eric Weddle,,,,9,,,,,,WeddEr99,FS,,,,,,,,,,,,,2.0,0.1,0.0,4.0,2.0,0.3,0.0,,,1.0,,2013,88,SDG,,,,,,,2.0,,,195,4.0,,,,,,,,2.0,27.0,21
2007,,,,,,1,11,,1985-01-04,,,,,,,,,,,,,,,,,,,,,,15,0,5-11,,,1,0,,,,,,,,0,,,,,,,Eric Weddle,,,,6,,,,,,WeddEr99,,,,,,,,,,,,,,,,,,,,,,,1.0,,2007,43,SDG,,,,,,,,,,195,,,,,,,,,,,0
2008,,,,,90.0,7,22,,1985-01-04,,,,,,,,,,,,,,,,,0.0,0.0,1.0,86.0,,16,16,5-11,,,1,0,,,,,,,,3,,,,1.0,,,Eric Weddle,,,,5,,,,,,WeddEr99,FS,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,2008,105,SDG,,,,,,,,,,195,,,,,,,,1.0,,86.0,3
2009,,,,,,6,14,,1985-01-04,,,,,,,,,,,,,,,,,,,,,,13,13,5-11,,,2,1,,,,,,,,31,,,,,,,Eric Weddle,,,,7,,,,,,WeddEr99,FS,,,,,,,,,,,,,,,,,,,,,,1.5,,2009,68,SDG,,,,,,,,,,195,,,,,,,,,,,44
2010,,,,,,11,16,,1985-01-04,,,,,,,,,,,,,,,,,,,,,,16,16,5-11,,,2,1,,,,,,,,41,,,,,,,Eric Weddle,,,,10,,,,,,WeddEr99,FS/ss,,,,,,,,,,,,,,,,,,,,,,0.5,,2010,80,SDG,,,,,,,,,,195,,,,,,,,,,,64
2015,,,,,,4,23,,1985-01-04,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,13,13,5-11,,,0,0,,,,,,,,0,,,,,,,Eric Weddle,,,,6,,,,,,WeddEr99,FS,,,,,,,,,,,,,,,,,,,,,,0.5,,2015,55,SDG,,,,,,,,,,195,,,,,,,,,,0.0,0
2016,,,,,,10,41,,1985-01-04,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,5-11,,,4,0,,,,,,,,53,,,,,,,Eric Weddle,,,,13,,,,,,WeddEr99,db/SS,,,,,,,,,,,,,,,,,,,,,,1.0,,2016,48,BAL,,,,,,,,,,195,,,,,,,,,,0.0,92
2017,,,,,,10,14,,1985-01-04,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,16,16,5-11,,,6,1,,,,,,,,45,,,,,,,Eric Weddle,,,,8,,,,,,WeddEr99,FS,,,,,,,,,,,,,,,,,,,,,,1.0,,2017,49,BAL,,,,,,,,,,195,,,,,,,,,,0.0,85
2018,,,,,18.0,9,14,,1985-01-04,,,,,,,,,,,,,,,,,,,,,,16,16,5-11,,,0,0,,,,,,,,0,,,,18.0,,,Eric Weddle,,,,3,,,,,,WeddEr99,FS,0.0,18.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,2018,54,BAL,,,,,,,,,,195,,,,,,,,18.0,,,0
2019,,,,,,6,39,,1985-01-04,,,,,,,,,,,,,,,,,,,,,,16,16,5-11,,,0,0,,,,,,,,0,,,,,,,Eric Weddle,,,,4,,,,,,WeddEr99,S,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,69,LAR,,,,,,,,,,195,,,,,,,,,,,0
