,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2008,,42.0,42.0,,,8.0,,1.0,1982-05-06,,66.9,1.0,,100.0,,,,,,,,,,,,0.0,,,,,16.0,16.0,6-6,0.0,,,,0.0,,,,,,,,,42.0,,,42.0,,Jason Witten,,42.0,,,100.0,0.0,0.0,42.0,42.0,WittJa00,TE,,,,,,118.7,4.0,952.0,59.5,11.8,81.0,5.1,,,,,,,4.0,,,,,2008,,DAL,,,121.0,0.0,,,81.0,,,263,952.0,0.0,,42.0,2.6,,,,11.8,,
Career,,42.0,42.0,,,118.0,0.0,1.0,1982-05-06,,71.3,1.0,,,,,,,,,,,,,,9.0,0.0,2.0,0.0,,255.0,245.0,6-6,0.0,,,,0.0,,,,,,,,,42.0,,,69.0,,Jason Witten,,42.0,,,100.0,0.0,0.0,42.0,42.0,WittJa00,,,,,,,118.7,72.0,12977.0,50.9,10.7,1215.0,4.8,,,,,,,72.0,,,0.0,,Career,4.0,,,,1703.0,0.0,,,1215.0,,,263,12977.0,0.0,,42.0,0.2,,,,10.7,0.0,
2003,,,,,,3.0,0.0,,1982-05-06,,64.8,,,,,,,,,,,,,,,0.0,,,,,15.0,7.0,6-6,,,,,,,,,,,,,,,,,36.0,,Jason Witten,,,,,,,,,,WittJa00,te/wr,,,,,,,1.0,347.0,23.1,9.9,35.0,2.3,,,,,,,1.0,,,0.0,,2003,2.0,DAL,,,54.0,,,,35.0,,,263,347.0,,,,,,,,9.9,,
2004,,,,,,8.0,,,1982-05-06,,71.3,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,16.0,15.0,6-6,,,,,,,,,,,,,,,,,42.0,,Jason Witten,,,,,,,,,,WittJa00,TE,,,,,,,6.0,980.0,61.3,11.3,87.0,5.4,,,,,,,6.0,,,0.0,,2004,,DAL,,,122.0,,,,87.0,,,263,980.0,,,,,,,,11.3,0.0,
2005,,,,,,7.0,,,1982-05-06,,74.2,,,,,,,,,,,,,,,0.0,,,,,16.0,16.0,6-6,,,,,,,,,,,,,,,,,34.0,,Jason Witten,,,,,,,,,,WittJa00,TE,,,,,,,6.0,757.0,47.3,11.5,66.0,4.1,,,,,,,6.0,,,,,2005,,DAL,,,89.0,,,,66.0,,,263,757.0,,,,,,,,11.5,,
2006,,,,,,8.0,0.0,,1982-05-06,,71.1,,,,,,,,,,,,,,,0.0,,,,,16.0,15.0,6-6,,,,,,,,,,,,,,,,,42.0,,Jason Witten,,,,,,,,,,WittJa00,TE,,,,,,,1.0,754.0,47.1,11.8,64.0,4.0,,,,,,,1.0,,,0.0,,2006,1.0,DAL,,,90.0,,,,64.0,,,263,754.0,,,,,,,,11.8,,
2007,,,,,,13.0,,,1982-05-06,,68.1,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,16.0,16.0,6-6,,,,,,,,,,,,,,,,,53.0,,Jason Witten,,,,,,,,,,WittJa00,TE,,,,,,,7.0,1145.0,71.6,11.9,96.0,6.0,,,,,,,7.0,,,0.0,,2007,,DAL,,,141.0,,,,96.0,,,263,1145.0,,,,,,,,11.9,0.0,
2009,,,,,,9.0,,,1982-05-06,,75.8,,,,,,,,,,,,,,,0.0,,,,,16.0,16.0,6-6,,,,,,,,,,,,,,,,,69.0,,Jason Witten,,,,,,,,,,WittJa00,TE,,,,,,,2.0,1030.0,64.4,11.0,94.0,5.9,,,,,,,2.0,,,,,2009,,DAL,,,124.0,,,,94.0,,,263,1030.0,,,,,,,,11.0,,
2010,,,,,,9.0,,,1982-05-06,,73.4,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,16.0,16.0,6-6,,,,,,,,,,,,,,,,,33.0,,Jason Witten,,,,,,,,,,WittJa00,TE,,,,,,,9.0,1002.0,62.6,10.7,94.0,5.9,,,,,,,9.0,,,0.0,,2010,,DAL,,,128.0,,,,94.0,,,263,1002.0,,,,,,,,10.7,0.0,
2011,,,,,,8.0,,,1982-05-06,,67.5,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,16.0,16.0,6-6,,,,,,,,,,,,,,,,,64.0,,Jason Witten,,,,,,,,,,WittJa00,TE,,,,,,,5.0,942.0,58.9,11.9,79.0,4.9,,,,,,,5.0,,,0.0,,2011,,DAL,,,117.0,,,,79.0,,,263,942.0,,,,,,,,11.9,0.0,
